County,Municipality,President DEM,President REP,US Senate DEM,US Senate REP,Congress DEM,Congress REP
Warren,Liberty,447,709,413,678,330,742
Atlantic,Brigantine,"2,068","2,462","2,007","2,294","1,528","2,806"
Monmouth,Deal,88,225,100,195,122,168
Monmouth,Manalapan,"8,224","9,949","7,843","9,143","6,623","9,702"
Mercer,Princeton,"9,461","2,882","8,940","2,856","9,631","2,416"
Bergen,Norwood,"1,275","1,296","1,202","1,151","1,001","1,276"
Bergen,North Arlington,"3,706","2,703","3,565","2,279","3,620","1,923"
Middlesex,Old Bridge,"13,127","10,911","11,988","10,360","24,638","9,310"
Morris,Riverdale,816,"1,085",742,972,599,"1,051"
Bergen,Montvale,"1,718","2,275","1,640","2,003","1,354","2,219"
Union,Winfield,426,271,374,215,311,244
Bergen,Mahwah,"5,143","6,862","4,727","5,855","3,827","6,353"
Monmouth,Shrewsbury,876,"1,205",740,"1,251",650,"1,269"
Bergen,Hillsdale,"2,610","2,837","2,536","2,464","2,079","2,786"
Bergen,Hasbrouck Heights,"2,883","2,669","2,700","2,348","2,820","2,025"
Morris,Jefferson,"3,757","5,370","3,534","4,793","2,587","5,568"
Middlesex,South Plainfield,"5,720","4,043","5,382","3,723","5,227","3,544"
Bergen,Fort Lee,"7,891","4,737","7,509","3,924","7,263","3,859"
Middlesex,South Amboy,"1,790","1,373","1,693","1,216","1,714","1,142"
Bergen,Glen Rock,"3,326","2,881","3,093","2,602","2,627","2,893"
Bergen,Edgewater,"2,392","1,031","2,248",850,"2,144",862
Bergen,Fair Lawn,"8,374","6,815","8,142","5,684","7,206","5,850"
Monmouth,Asbury Park,"4,317",480,"3,793",466,"3,700",421
Monmouth,Allenhurst,107,168,89,172,114,143
Middlesex,Woodbridge,"22,386","13,200","20,987","11,586","20,445","11,015"
Middlesex,Spotswood,"1,712","1,764","1,535","1,653","1,662","1,448"
Monmouth,Colts Neck,"1,420","3,912","1,295","3,800","1,014","3,958"
Monmouth,Brielle,914,"1,893",819,"1,808",624,"1,999"
Monmouth,Belmar,"1,196","1,310","1,150","1,197",953,"1,284"
Monmouth,Atlantic Highlands,"1,167","1,124","1,023","1,182","1,228",985
Salem,Upper Pittsgrove,558,"1,102",591,"1,002",330,"1,270"
Salem,Alloway,691,"1,019",731,912,428,"1,247"
Somerset,Bound Brook,"1,598","1,120","1,525","1,038","1,424","1,000"
Somerset,Far Hills,137,348,127,335,104,336
Somerset,Green Brook,"1,394","1,653","1,309","1,559","1,136","1,626"
Salem,Penns Grove,"1,234",265,"1,162",223,961,416
Salem,Pittsgrove,"2,046","2,114","2,061","1,868","1,310","2,676"
Bergen,Emerson,"1,532","2,019","1,475","1,778","1,159","1,952"
Ocean,Barnegat Twp,"4,711","5,670","4,521","5,227","4,179","5,397"
Bergen,Little Ferry,"2,024","1,091","1,904",903,"1,862",828
Bergen,River Edge,"2,723","2,337","2,631","2,052","2,157","2,336"
Morris,Wharton,"1,310","1,006","1,214",930,"1,022",917
Morris,Victory Gardens,301,65,267,54,198,92
Ocean,Berkeley Twp,"8,931","11,858","8,515","10,988","7,767","11,282"
Somerset,Manville,"1,702","1,641","1,621","1,499","1,592","1,425"
Bergen,Teaneck,"13,875","5,256","13,795","3,457","14,024","13,470"
Ocean,Lakewood,"7,062","19,273","10,539","13,154","5,505","19,094"
Somerset,North Plainfield,"4,655","1,671","4,419","1,550","3,790","1,744"
Somerset,Raritan,"1,323","1,360","1,283","1,230","1,122","1,240"
Ocean,Barnegat Light,153,222,141,216,116,215
Ocean,Ocean Gate,395,415,365,399,340,415
Morris,Washington Twp,"3,278","6,021","3,039","5,664","2,618","5,720"
Ocean,Ship Bottom,248,335,228,318,176,321
Sussex,Andover,129,143,120,140,95,154
Bergen,Wyckoff,"3,183","5,871","3,090","5,152","2,530","5,514"
Monmouth,Eatontown,"2,887","2,344","2,626","2,303","2,307","2,451"
Essex,Nutley,"6,507","6,273","5,714","4,804","4,903","4,933"
Bergen,Park Ridge,"1,957","2,682","1,883","2,374","1,521","2,630"
Bergen,Westwood,"2,701","2,564","2,519","2,305","2,051","2,594"
Bergen,Ridgefield Park,"3,162","1,508","2,940","1,263","2,874","1,125"
Essex,Newark,"78,352","3,852","69,506","2,844","109,520","94,542"
Bergen,Wallington,"1,967","1,548","1,840","1,238","1,990","1,023"
Bergen,Rockleigh,76,89,71,84,61,89
Monmouth,Farmingdale,330,364,279,362,212,439
Bergen,Saddle River,448,"1,268",447,"1,189",369,"1,227"
Monmouth,Englishtown,351,428,319,395,252,439
Burlington,Evesham,"12,507","10,863","11,974","10,103","9,346","12,915"
Monmouth,Highlands,"1,044",837,918,859,"1,061",691
Essex,Livingston,"7,303","6,863","7,135","5,394","5,639","6,493"
Essex,Glen Ridge,"2,415","1,396","2,175","1,153","2,104","1,194"
Monmouth,Freehold Twp,"7,242","9,204","6,721","8,818","5,430","9,704"
