County  ,Municipality  ,Workforce,Unemployed,% Unemployed
Warren,Liberty,"1,614",157,9.72
Atlantic,Brigantine,"6,538",682,10.43
Monmouth,Deal,375,22,5.82
Monmouth,Manalapan,"19,670","1,625",8.26
Mercer,Princeton,"5,118",453,8.85
Bergen,Norwood,"2,857",256,8.97
Bergen,North Arlington,"8,433",722,8.57
Middlesex,Old Bridge,"36,309","3,128",8.61
Morris,Riverdale,"1,619",160,9.86
Bergen,Montvale,"3,909",233,5.96
Union,Winfield,905,141,15.64
Bergen,Mahwah,"14,722","1,085",7.37
Monmouth,Shrewsbury,"1,697",44,2.58
Bergen,Hillsdale,"5,487",326,5.95
Bergen,Hasbrouck Heights,"6,386",559,8.76
Morris,Jefferson,"12,062",852,7.06
Middlesex,South Plainfield,"12,664",800,6.32
Bergen,Fort Lee,"18,250","1,165",6.38
Middlesex,South Amboy,"4,404",366,8.31
Bergen,Glen Rock,"6,066",373,6.15
Bergen,Edgewater,"5,174",443,8.56
Bergen,Fair Lawn,"17,539","1,466",8.36
Monmouth,Asbury Park,"7,910","1,619",20.47
Monmouth,Allenhurst,385,22,5.67
Middlesex,Woodbridge,"53,964","4,570",8.47
Middlesex,Spotswood,"4,674",343,7.34
Monmouth,Colts Neck,"4,879",372,7.62
Monmouth,Brielle,"2,413",175,7.25
Monmouth,Belmar,"3,709",372,10.03
Monmouth,Atlantic Highlands,"2,778",328,11.81
Salem,Upper Pittsgrove,"1,673",75,4.49
Salem,Alloway,"1,422",169,11.89
Somerset,Bound Brook,"6,674",762,11.41
Somerset,Far Hills,494,28,5.72
Somerset,Green Brook,"3,312",226,6.81
Salem,Penns Grove,"2,361",620,26.26
Salem,Pittsgrove,"4,631",451,9.74
Bergen,Emerson,"3,550",140,3.94
Ocean,Barnegat Twp,"7,714",746,9.67
Bergen,Little Ferry,"6,517",629,9.65
Bergen,River Edge,"5,841",373,6.38
Morris,Wharton,"3,892",585,15.04
Morris,Victory Gardens,920,80,8.69
Ocean,Berkeley Twp,"13,471","2,099",15.58
Somerset,Manville,"6,290",508,8.07
Bergen,Teaneck,"20,918","1,591",7.61
Ocean,Lakewood,"33,570","2,608",7.77
Somerset,North Plainfield,"13,183","1,326",10.06
Somerset,Raritan,"3,730",395,10.59
Ocean,Barnegat Light,358,27,7.43
Ocean,Ocean Gate,"1,261",133,10.56
Morris,Washington Twp,"9,871",665,6.74
Ocean,Ship Bottom,852,133,15.64
Sussex,Andover,499,61,12.22
Bergen,Wyckoff,"8,026",489,6.1
Monmouth,Eatontown,"7,905",656,8.3
Essex,Nutley,"15,975","1,313",8.22
Bergen,Park Ridge,"4,669",163,3.49
Bergen,Westwood,"6,191",303,4.89
Bergen,Ridgefield Park,"7,360",652,8.87
Essex,Newark,"108,176","16,265",15.04
Bergen,Wallington,"6,893",862,12.51
Bergen,Rockleigh,92,0,0
Monmouth,Farmingdale,881,44,4.97
Bergen,Saddle River,"1,424",93,6.54
Monmouth,Englishtown,923,66,7.11
Burlington,Evesham,"26,757","2,000",7.47
Monmouth,Highlands,"3,124",372,11.91
Essex,Livingston,"15,332",949,6.19
Essex,Glen Ridge,"3,751",250,6.68
Monmouth,Freehold Twp,"19,427","1,428",7.35
Burlington,Delran,"9,923",756,7.62
Burlington,Burlington,"5,931",785,13.24
Monmouth,Interlaken,497,44,8.8
Essex,Montclair,"21,134","1,425",6.74
Atlantic,Northfield,"3,781",286,7.56
Burlington,Beverly,"1,715",349,20.35
Monmouth,Holmdel,"7,481",394,5.27
Essex,Maplewood,"13,773","1,252",9.09
Bergen,Oradell,"4,209",256,6.09
Essex,Caldwell,"4,373",223,5.09
Monmouth,Lake Como,"1,128",109,9.7
Essex,Bloomfield,"26,925","2,371",8.81
Monmouth,Keansburg,"5,662",853,15.07
Essex,Fairfield,"3,880",278,7.17
Burlington,Mansfield,"2,487",291,11.69
Burlington,Hainesport,"2,662",204,7.65
Essex,East Orange,"29,080","3,887",13.37
Monmouth,Little Silver,"3,080",197,6.39
Sussex,Franklin,"2,870",305,10.62
Sussex,Hampton Twp,"2,841",213,7.51
Sussex,Byram,"5,159",488,9.45
Sussex,Sparta,"10,036",610,6.07
Burlington,Moorestown,"10,273",756,7.36
Sussex,Wantage,"5,946",701,11.79
Burlington,Pemberton Twp,"14,495","1,644",11.34
Bergen,Teterboro,20,0,0
Sussex,Hopatcong,"10,417","1,219",11.71
Burlington,Chesterfield,"1,620",145,8.97
Sussex,Newton,"4,526",366,8.08
Warren,Phillipsburg,"8,483","1,098",12.94
Warren,Hardwick,867,52,6.03
Ocean,Lakehurst,"1,430",213,14.91
Warren,Harmony,"1,600",78,4.9
Ocean,Lacey,"14,951","1,530",10.23
Warren,Frelinghuysen,"1,193",78,6.57
Union,Clark,"7,405",330,4.46
Ocean,Jackson,"29,506","2,705",9.17
Warren,Greenwich,"2,371",131,5.51
Union,Fanwood,"3,870",236,6.1
Ocean,Island Heights,"1,002",107,10.63
Warren,Alpha,"1,458",183,12.55
Warren,Blairstown,"3,400",314,9.23
Ocean,Bay Head,744,80,10.75
Gloucester,Harrison Twp,"5,309",431,8.11
Mercer,Hopewell Twp,"10,045",642,6.39
Gloucester,Greenwich,"2,940",215,7.33
Ocean,Beach Haven,671,107,15.89
Mercer,Hopewell,"1,551",38,2.43
Mercer,Hamilton,"54,716","4,371",7.99
Gloucester,Franklin Twp,"9,773","1,238",12.67
Mercer,East Windsor,"17,876","1,051",5.88
Gloucester,East Greenwich,"3,246",242,7.46
Ocean,Eagleswood,843,80,9.48
Ocean,Harvey Cedars,155,0,0
Ocean,Beachwood,"6,548",719,10.99
Ocean,Brick,"40,773","4,111",10.08
Gloucester,Mantua,"9,729",915,9.41
Essex,Orange,"14,309","1,752",12.24
Middlesex,Dunellen,"4,315",549,12.72
Middlesex,Cranbury,"1,718",69,3.99
Mercer,West Windsor,"15,731",764,4.86
Gloucester,Deptford,"16,899","1,794",10.62
Essex,West Orange,"24,453","1,960",8.02
Mercer,Robbinsville,"7,277",491,6.74
Essex,West Caldwell,"6,188",445,7.19
Mercer,Princeton Twp,"9,779",189,1.93
Essex,South Orange,"8,878",863,9.71
Mercer,Pennington,"1,776",151,8.5
Warren,Pohatcong,"2,075",157,7.56
Warren,Washington,"4,076",314,7.7
Warren,White,"2,221",131,5.89
Morris,Chatham,"4,543",240,5.27
Gloucester,Woodbury,"5,819",673,11.57
Morris,Chatham Twp,"5,324",160,3
Hudson,West New York,"22,453","2,650",11.8
Morris,Chester Twp,"3,755",186,4.96
Morris,Denville,"8,767",559,6.37
Hunterdon,Milford,734,94,12.85
Morris,East Hanover,"6,515",479,7.35
Ocean,Point Pleasant,"11,748",986,8.39
Cumberland,Downe,761,107,14.06
Morris,Hanover,"7,441",293,3.93
Ocean,Plumsted,"4,467",320,7.16
Essex,Essex Fells,"1,020",56,5.46
Morris,Harding,"1,486",80,5.37
Gloucester,Elk,"1,981",188,9.51
Ocean,Point Pleasant Beach,"2,983",240,8.04
Gloucester,Pitman,"5,773",673,11.66
Camden,Audubon Park,548,45,8.24
Camden,Lawnside,"1,494",226,15.13
Cape May,Cape May,"1,804",259,14.36
Hudson,Weehawken,"7,962",744,9.34
Middlesex,Jamesburg,"3,783",320,8.46
Hudson,Union City,"29,372","3,919",13.34
Middlesex,Helmetta,"1,308",114,8.74
Ocean,Lavallette,"1,230",80,6.5
Hunterdon,Bloomsbury,545,63,11.53
Ocean,Little Egg Harbor,"8,930","1,066",11.93
Middlesex,Milltown,"4,250",320,7.53
Hunterdon,Alexandria,"2,662",314,11.81
Ocean,Long Beach,"1,602",187,11.64
Middlesex,Metuchen,"8,003",709,8.86
Ocean,Manchester,"12,567","1,822",14.5
Ocean,Mantoloking,155,0,0
Middlesex,Edison,"56,308","3,954",7.02
Ocean,Ocean Twp,"3,780",506,13.39
Ocean,Pine Beach,"1,190",107,8.95
Middlesex,Sayreville,"23,554","2,101",8.92
Hudson,East Newark,"1,140",116,10.15
Gloucester,Woolwich,"1,834",135,7.34
Hudson,Hoboken,"34,775","1,748",5.03
Middlesex,North Brunswick,"23,478","1,904",8.11
Hudson,Guttenberg,"5,687",595,10.46
Middlesex,Monroe,"15,142","1,547",10.22
Middlesex,Piscataway,"32,477","2,671",8.22
Hudson,North Bergen,"29,421","3,146",10.69
Middlesex,Perth Amboy,"24,197","3,748",15.49
Hudson,Kearny,"19,965","2,281",11.42
Morris,Mendham Twp,"2,499",53,2.13
Morris,Morris Plains,"3,021",240,7.93
Morris,Florham Park,"4,685",266,5.68
Morris,Long Hill,"4,969",319,6.42
Morris,Chester,909,80,8.79
Morris,Dover,"11,110","1,863",16.77
Morris,Boonton,"5,405",692,12.8
Morris,Butler,"4,523",293,6.47
Morris,Mount Arlington,"2,995",213,7.11
Morris,Mountain Lakes,"1,916",27,1.39
Atlantic,Estell Manor,741,110,14.83
Atlantic,Galloway,"19,207","2,342",12.19
Hunterdon,Flemington,"2,484",189,7.59
Atlantic,Egg Harbor Twp,"23,326","2,847",12.21
Hunterdon,Clinton Twp,"6,896",660,9.57
Hunterdon,East Amwell,"2,673",189,7.06
Hunterdon,Califon,566,0,0
Atlantic,Margate,"3,924",484,12.33
Atlantic,Hammonton,"6,271","1,056",16.84
Atlantic,Linwood,"3,177",286,9
Union,Scotch Plains,"12,403",708,5.7
Union,Summit,"10,993",590,5.36
Warren,Belvidere,"1,662",183,11.01
Union,Kenilworth,"4,303",425,9.87
Warren,Franklin Twp,"1,626",105,6.43
Morris,Roxbury,"14,205",958,6.74
Union,New Providence,"6,525",448,6.87
Union,Hillside,"12,707","1,887",14.85
Union,Linden,"21,650","2,287",10.56
Union,Roselle,"12,121","1,698",14.01
Union,Mountainside,"3,087",165,5.35
Union,Rahway,"14,607","1,555",10.65
Union,Plainfield,"27,273","3,244",11.89
Union,Springfield,"7,999",283,3.54
Union,Roselle Park,"8,080",802,9.92
Union,Westfield,"15,840",884,5.58
Union,Union Twp,"30,078","2,779",9.24
Warren,Hackettstown,"6,207",366,5.9
Warren,Allamuchy,"2,366",105,4.42
Atlantic,Weymouth,"1,058",88,8.32
Bergen,Alpine,"1,104",70,6.33
Bergen,Bergenfield,"14,578","1,128",7.74
Bergen,Carlstadt,"3,564",256,7.19
Atlantic,Mullica,"2,921",396,13.55
Atlantic,Pleasantville,"8,574","1,584",18.47
Atlantic,Port Republic,547,44,8.04
Atlantic,Ventnor,"6,489",880,13.56
Morris,Pequannock,"7,992",665,8.32
Bergen,Closter,"4,098",186,4.55
Bergen,Cresskill,"3,937",210,5.33
Warren,Mansfield,"3,973",340,8.55
Warren,Oxford,"1,431",209,14.62
Warren,Knowlton,"1,903",209,10.99
Warren,Lopatcong,"2,832",131,4.62
Atlantic,Buena,"1,746",264,15.12
Atlantic,Buena Vista,"3,553",396,11.15
Atlantic,Absecon,"3,994",572,14.32
Atlantic,Atlantic City,"16,951","3,018",17.8
Bergen,Dumont,"9,617",606,6.3
Bergen,Englewood,"14,233","1,337",9.39
Bergen,Englewood Cliffs,"2,759",210,7.6
Bergen,East Rutherford,"5,095",559,10.98
Bergen,Elmwood Park,"10,795","1,119",10.36
Bergen,Garfield,"16,944","2,248",13.27
Bergen,Hackensack,"24,336","2,299",9.45
Monmouth,Roosevelt,528,44,8.29
Bergen,Fairview,"6,767","1,002",14.81
Monmouth,Sea Bright,"1,291",131,10.17
Bergen,Franklin Lakes,"5,151",256,4.98
Monmouth,Ocean Twp,"14,964","1,300",8.69
Monmouth,Red Bank,"6,805",766,11.25
Bergen,Harrington Park,"2,423",140,5.77
Monmouth,Monmouth Beach,"2,070",175,8.46
Monmouth,Neptune City,"2,781",241,8.65
Warren,Independence,"3,481",105,3
Monmouth,Marlboro,"20,763","1,406",6.77
Warren,Hope,"1,123",105,9.31
Monmouth,Middletown,"36,235","3,210",8.86
Monmouth,Long Branch,"15,802","1,679",10.63
Monmouth,Manasquan,"3,452",175,5.07
Atlantic,Hamilton,"13,388","1,724",12.88
Atlantic,Longport,483,44,9.11
Atlantic,Somers Point,"6,031",770,12.77
Monmouth,Sea Girt,971,44,4.51
Bergen,Allendale,"3,238",186,5.76
Bergen,Bogota,"5,085",722,14.21
Bergen,Cliffside Park,"12,596","1,188",9.44
Bergen,Demarest,"2,442",210,8.59
Bergen,Ho-Ho-Kus,"1,969",23,1.18
Bergen,Haworth,"1,737",140,8.05
Bergen,Leonia,"4,982",303,6.08
Bergen,Lodi,"13,499","1,375",10.18
Bergen,Lyndhurst,"11,270","1,235",10.96
Bergen,Maywood,"5,457",419,7.69
Bergen,Midland Park,"3,959",140,3.53
Bergen,Moonachie,"1,517",93,6.15
Bergen,New Milford,"9,391",769,8.19
Bergen,Northvale,"2,597",140,5.38
Monmouth,West Long Branch,"3,381",306,9.06
Morris,Boonton Twp,"2,433",186,7.66
Monmouth,Shrewsbury Twp,765,109,14.3
Atlantic,Corbin City,223,22,9.84
Monmouth,Spring Lake Heights,"2,341",153,6.54
Monmouth,Union Beach,"3,672",416,11.32
Atlantic,Folsom,"1,027",66,6.42
Monmouth,Upper Freehold,"2,336",88,3.75
Atlantic,Egg Harbor,"2,224",440,19.78
Passaic,Pompton Lakes,"6,684",607,9.08
Passaic,North Haledon,"4,376",264,6.03
Passaic,Wayne,"29,081","2,088",7.18
