County,Municipality,Per Capita Taxable Property Value,Income Per Taxpayer
Warren,Liberty,"97,999","33,786.05"
Atlantic,Brigantine,"388,220","31,782.59"
Monmouth,Deal,"3,038,964","118,831.68"
Monmouth,Manalapan,"152,394","46,983.43"
Mercer,Princeton,"581,537",-
Bergen,Norwood,"218,544","66,175.85"
Bergen,North Arlington,"96,094","32,347.79"
Middlesex,Old Bridge,"104,391","34,736.23"
Morris,Riverdale,"221,180","43,457.62"
Bergen,Montvale,"291,421","61,713.02"
Union,Winfield,"11,177","27,497.78"
Bergen,Mahwah,"237,666","69,543.08"
Monmouth,Shrewsbury,"255,683","61,177.74"
Bergen,Hillsdale,"178,250","49,696.86"
Bergen,Hasbrouck Heights,"142,991","38,447.46"
Morris,Jefferson,"126,317","38,537.72"
Middlesex,South Plainfield,"154,961","32,425.27"
Bergen,Fort Lee,"179,729","71,607.24"
Middlesex,South Amboy,"100,610","32,534.70"
Bergen,Glen Rock,"208,861","69,840.91"
Bergen,Edgewater,"249,687","64,374.60"
Bergen,Fair Lawn,"137,216","42,636.75"
Monmouth,Asbury Park,"75,455","18,439.25"
Monmouth,Allenhurst,"1,047,295","87,270.52"
Middlesex,Woodbridge,"111,288","30,603.54"
Middlesex,Spotswood,"92,514","32,303.35"
Monmouth,Colts Neck,"309,372","106,846.49"
Monmouth,Brielle,"309,318","66,888.32"
Monmouth,Belmar,"278,402","40,984.99"
Monmouth,Atlantic Highlands,"172,066","48,171.46"
Salem,Upper Pittsgrove,"88,242","28,813.79"
Salem,Alloway,"80,994","33,640.42"
Somerset,Bound Brook,"75,169","23,282.37"
Somerset,Far Hills,"486,460","603,591.82"
Somerset,Green Brook,"204,270","57,197.19"
Salem,Penns Grove,"34,063","14,219.63"
Salem,Pittsgrove,"68,760","30,628.57"
Bergen,Emerson,"165,290","43,095.29"
Ocean,Barnegat Twp,"110,602","26,977.43"
Bergen,Little Ferry,"123,631","27,726.90"
Bergen,River Edge,"144,015","43,253.37"
Morris,Wharton,"109,581","28,530.54"
Morris,Victory Gardens,"51,605","17,367.73"
Ocean,Berkeley Twp,"127,120","27,101.23"
Somerset,Manville,"93,584","25,171.10"
Bergen,Teaneck,"137,960","51,779.32"
Ocean,Lakewood,"79,073","17,612.25"
Somerset,North Plainfield,"72,465","23,736.38"
Somerset,Raritan,"163,329","34,371.72"
Ocean,Barnegat Light,"1,800,876","44,349.19"
Ocean,Ocean Gate,"123,767","27,451.41"
Morris,Washington Twp,"154,449","57,138.08"
Ocean,Ship Bottom,"1,089,817","35,307.09"
Sussex,Andover,"128,827","29,808.05"
Bergen,Wyckoff,"255,964","91,577.82"
Monmouth,Eatontown,"170,402","32,490.30"
Essex,Nutley,"133,981","40,949.95"
Bergen,Park Ridge,"199,644","62,344.07"
Bergen,Westwood,"178,990","41,379.66"
Bergen,Ridgefield Park,"106,494","28,224.79"
Essex,Newark,"52,788","15,700.18"
Bergen,Wallington,"86,279","25,520.81"
Bergen,Rockleigh,"460,294","210,721.02"
Monmouth,Farmingdale,"110,419","30,955.56"
Bergen,Saddle River,"756,979","374,220.64"
Monmouth,Englishtown,"121,060","30,152.32"
Burlington,Evesham,"113,515","41,589.03"
Monmouth,Highlands,"129,110","42,617.57"
Essex,Livingston,"251,319","122,997.69"
Essex,Glen Ridge,"192,666","81,909.36"
Monmouth,Freehold Twp,"162,762","44,456.67"
Burlington,Delran,"94,193","31,924.86"
Burlington,Burlington,"67,609","22,775.17"
Monmouth,Interlaken,"300,469","73,061.46"
Essex,Montclair,"174,366","80,776.82"
Atlantic,Northfield,"108,912","32,419.92"
Burlington,Beverly,"49,058","22,819.70"
Monmouth,Holmdel,"246,252","85,159.38"
Essex,Maplewood,"140,561","56,923.54"
Bergen,Oradell,"209,007","65,250.58"
Essex,Caldwell,"130,974","46,925.45"
Monmouth,Lake Como,"219,896","31,419.78"
Essex,Bloomfield,"91,132","31,245.61"
Monmouth,Keansburg,"58,258","21,180.10"
Essex,Fairfield,"371,927","48,228.24"
Burlington,Mansfield,"139,542","39,214.36"
Burlington,Hainesport,"127,685","41,953.72"
Essex,East Orange,"53,765","17,996.26"
Monmouth,Little Silver,"266,733","75,662.96"
Sussex,Franklin,"90,772","25,433.14"
Sussex,Hampton Twp,"126,868","40,331.58"
Sussex,Byram,"123,842","41,729.09"
Sussex,Sparta,"169,607","53,290.21"
Burlington,Moorestown,"202,023","81,609.46"
Sussex,Wantage,"107,836","34,410.08"
Burlington,Pemberton Twp,"55,963","22,117.41"
Bergen,Teterboro,"5,570,310","24,621.02"
Sussex,Hopatcong,"113,401","33,690.81"
Burlington,Chesterfield,"94,728","44,330.09"
Sussex,Newton,"85,957","27,860.54"
Warren,Phillipsburg,"63,240","20,504.38"
Warren,Hardwick,"115,971","47,005.66"
Ocean,Lakehurst,"75,506","20,824.32"
Warren,Harmony,"211,091","31,024.88"
Ocean,Lacey,"143,115","30,676.86"
Warren,Frelinghuysen,"148,263","43,334.14"
Union,Clark,"161,299","42,243.23"
Ocean,Jackson,"120,240","33,274.11"
Warren,Greenwich,"124,266","39,951.64"
Union,Fanwood,"148,396","46,170.65"
Ocean,Island Heights,"211,878","39,857.01"
Warren,Alpha,"89,695","26,563.89"
Warren,Blairstown,"127,264","37,207.10"
Ocean,Bay Head,"1,590,904","70,643.67"
Gloucester,Harrison Twp,"108,828","45,953.68"
Mercer,Hopewell Twp,"229,511","82,231.11"
Gloucester,Greenwich,"204,312","30,646.69"
Ocean,Beach Haven,"1,661,753","45,262.69"
Mercer,Hopewell,"165,005","48,744.84"
Mercer,Hamilton,"93,150","32,543.48"
Gloucester,Franklin Twp,"78,287","29,363.89"
Mercer,East Windsor,"102,260","37,286.62"
Gloucester,East Greenwich,"107,156","41,554.54"
Ocean,Eagleswood,"156,089","32,452.63"
Ocean,Harvey Cedars,"3,684,226","83,976.32"
Ocean,Beachwood,"83,227","26,524.10"
Ocean,Brick,"149,666","31,799.67"
Gloucester,Mantua,"92,464","36,154.29"
Essex,Orange,"47,551","17,191.52"
Middlesex,Dunellen,"76,165","27,528.06"
Middlesex,Cranbury,"382,368","86,185.11"
Mercer,West Windsor,"214,509","72,995.20"
Gloucester,Deptford,"99,151","28,801.11"
Essex,West Orange,"128,053","48,878.02"
Mercer,Robbinsville,"168,754","54,054.30"
Essex,West Caldwell,"215,815","50,709.25"
Mercer,Princeton Twp,-,-
Essex,South Orange,"155,688","75,396.61"
Mercer,Pennington,"188,901","74,069.67"
Warren,Pohatcong,"114,531","30,102.06"
Warren,Washington,"73,728","26,707.03"
Warren,White,"117,456","31,693.29"
Morris,Chatham,"252,761","79,309.70"
Gloucester,Woodbury,"66,334","27,038.62"
Morris,Chatham Twp,"302,532","125,288.53"
Hudson,West New York,"44,304","24,260.50"
Morris,Chester Twp,"243,220","101,919.52"
Morris,Denville,"193,551","53,627.93"
Hunterdon,Milford,"97,892","32,837.17"
Morris,East Hanover,"301,750","50,817.41"
Ocean,Point Pleasant,"179,430","36,845.78"
Cumberland,Downe,"106,377","22,088.83"
Morris,Hanover,"275,890","50,443.73"
Ocean,Plumsted,"102,935","32,538.51"
Essex,Essex Fells,"341,691","145,663.79"
Morris,Harding,"611,172","184,627.95"
Gloucester,Elk,"87,454","29,570.74"
Ocean,Point Pleasant Beach,"472,181","42,590.25"
Gloucester,Pitman,"74,756","32,381.46"
Camden,Audubon Park,"21,904","21,471.38"
Camden,Lawnside,"81,194","23,754.98"
Cape May,Cape May,"783,909","40,278.73"
Hudson,Weehawken,"197,274","55,222.77"
Middlesex,Jamesburg,"76,586","29,178.08"
Hudson,Union City,"45,455","17,202.87"
Middlesex,Helmetta,"98,532","34,882.77"
Ocean,Lavallette,"1,155,896","47,608.47"
Hunterdon,Bloomsbury,"118,221","31,914.05"
Ocean,Little Egg Harbor,"125,209","26,821.85"
Middlesex,Milltown,"131,394","37,367.30"
Hunterdon,Alexandria,"161,495","52,903.93"
Ocean,Long Beach,"2,690,389","56,293"
Middlesex,Metuchen,"157,308","48,726.26"
Ocean,Manchester,"86,400","26,159.94"
Ocean,Mantoloking,"5,359,637","153,964.04"
Middlesex,Edison,"139,521","38,932.75"
Ocean,Ocean Twp,"159,073","30,775.82"
Ocean,Pine Beach,"132,298","34,899.26"
Middlesex,Sayreville,"107,420","31,397.37"
Hudson,East Newark,"54,850","16,963.47"
Gloucester,Woolwich,"98,824","43,167.13"
Hudson,Hoboken,"184,466","86,172.99"
Middlesex,North Brunswick,"105,831","34,602.70"
Hudson,Guttenberg,"79,388","31,660.19"
Middlesex,Monroe,"162,602","44,733.29"
Middlesex,Piscataway,"106,838","33,487.95"
Hudson,North Bergen,"76,361","23,652.90"
Middlesex,Perth Amboy,"63,014","15,191.02"
Hudson,Kearny,"77,457","24,149.20"
Morris,Mendham Twp,"331,511","165,300.38"
Morris,Morris Plains,"262,522","56,776.51"
Morris,Florham Park,"254,052","71,654.56"
Morris,Long Hill,"186,491","61,177.82"
Morris,Chester,"218,744","64,574.65"
Morris,Dover,"73,115","18,848.24"
Morris,Boonton,"130,143","37,716.41"
Morris,Butler,"129,890","35,313.58"
Morris,Mount Arlington,"143,997","40,304.99"
Morris,Mountain Lakes,"303,000","145,236.06"
Atlantic,Estell Manor,"101,764","28,608.83"
Atlantic,Galloway,"87,219","28,273.06"
Hunterdon,Flemington,"100,000","27,814.10"
Atlantic,Egg Harbor Twp,"96,939","26,915.84"
Hunterdon,Clinton Twp,"171,084","61,710.49"
Hunterdon,East Amwell,"190,586","52,962.77"
Hunterdon,Califon,"132,122","53,480.36"
Atlantic,Margate,"608,281","53,152.24"
Atlantic,Hammonton,"92,899","27,273.44"
Atlantic,Linwood,"149,394","58,169.99"
Union,Scotch Plains,"161,957","59,247.03"
