County,Municipality,Municipal Budget per Capita ($)
Warren,Liberty,677
Atlantic,Brigantine,2816
Monmouth,Deal,12251
Monmouth,Manalapan,811
Mercer,Princeton,2165
Bergen,Norwood,1638
Bergen,North Arlington,1343
Middlesex,Old Bridge,794
Morris,Riverdale,1863
Bergen,Montvale,1935
Union,Winfield,1085
Bergen,Mahwah,1343
Monmouth,Shrewsbury,2304
Bergen,Hillsdale,1244
Bergen,Hasbrouck Heights,1532
Morris,Jefferson,1341
Middlesex,South Plainfield,1123
Bergen,Fort Lee,1942
Middlesex,South Amboy,1713
Bergen,Glen Rock,1443
Bergen,Edgewater,2003
Bergen,Fair Lawn,1419
Monmouth,Asbury Park,2517
Monmouth,Allenhurst,9186
Middlesex,Woodbridge,1275
Middlesex,Spotswood,1166
Monmouth,Colts Neck,1027
Monmouth,Brielle,1702
Monmouth,Belmar,2391
Monmouth,Atlantic Highlands,1783
Salem,Upper Pittsgrove,561
Salem,Alloway,584
Somerset,Bound Brook,1172
Somerset,Far Hills,2998
Somerset,Green Brook,1154
Salem,Penns Grove,1182
Salem,Pittsgrove,417
Bergen,Emerson,1446
Ocean,Barnegat Twp,958
Bergen,Little Ferry,1319
Bergen,River Edge,1244
Morris,Wharton,1613
Morris,Victory Gardens,1079
Ocean,Berkeley Twp,967
Somerset,Manville,1244
Bergen,Teaneck,1671
Ocean,Lakewood,745
Somerset,North Plainfield,1001
Somerset,Raritan,1375
Ocean,Barnegat Light,5497
Ocean,Ocean Gate,1350
Morris,Washington Twp,1045
Ocean,Ship Bottom,5376
Sussex,Andover,1404
Bergen,Wyckoff,1037
Monmouth,Eatontown,1818
Essex,Nutley,1724
Bergen,Park Ridge,1371
Bergen,Westwood,1499
Bergen,Ridgefield Park,1624
Essex,Newark,2193
Bergen,Wallington,992
Bergen,Rockleigh,2413
Monmouth,Farmingdale,606
Bergen,Saddle River,4062
Monmouth,Englishtown,1023
Burlington,Evesham,752
Monmouth,Highlands,1671
Essex,Livingston,1511
Essex,Glen Ridge,1583
Monmouth,Freehold Twp,1089
Burlington,Delran,946
Burlington,Burlington,1639
Monmouth,Interlaken,2846
Essex,Montclair,1818
Atlantic,Northfield,1447
Burlington,Beverly,1157
Monmouth,Holmdel,1322
Essex,Maplewood,1626
Bergen,Oradell,1675
Essex,Caldwell,1529
Monmouth,Lake Como,1951
Essex,Bloomfield,1531
Monmouth,Keansburg,1477
Essex,Fairfield,2820
Burlington,Mansfield,788
Burlington,Hainesport,676
Essex,East Orange,2090
Monmouth,Little Silver,1668
Sussex,Franklin,1182
Sussex,Hampton Twp,701
Sussex,Byram,1289
Sussex,Sparta,1214
Burlington,Moorestown,1107
Sussex,Wantage,562
Burlington,Pemberton Twp,834
Bergen,Teterboro,71022
Sussex,Hopatcong,1085
Burlington,Chesterfield,531
Sussex,Newton,1454
Warren,Phillipsburg,1142
Warren,Hardwick,600
Ocean,Lakehurst,1345
Warren,Harmony,1108
Ocean,Lacey,953
Warren,Frelinghuysen,634
Union,Clark,1351
Ocean,Jackson,711
Warren,Greenwich,774
Union,Fanwood,1199
Ocean,Island Heights,1385
Warren,Alpha,1180
Warren,Blairstown,723
Ocean,Bay Head,4897
Gloucester,Harrison Twp,838
Mercer,Hopewell Twp,1232
Gloucester,Greenwich,2245
Ocean,Beach Haven,7970
Mercer,Hopewell,1588
Mercer,Hamilton,1105
Gloucester,Franklin Twp,647
Mercer,East Windsor,739
Gloucester,East Greenwich,749
Ocean,Eagleswood,1235
Ocean,Harvey Cedars,13578
Ocean,Beachwood,867
Ocean,Brick,1168
Gloucester,Mantua,824
Essex,Orange,1831
Middlesex,Dunellen,950
Middlesex,Cranbury,2864
Mercer,West Windsor,1387
Gloucester,Deptford,1012
Essex,West Orange,1514
Mercer,Robbinsville,1693
Essex,West Caldwell,1732
Mercer,Princeton Twp,2357
Essex,South Orange,2056
Mercer,Pennington,1238
Warren,Pohatcong,1908
Warren,Washington,1122
Warren,White,588
Morris,Chatham,1860
Gloucester,Woodbury,1360
Morris,Chatham Twp,1539
Hudson,West New York,1356
Morris,Chester Twp,1865
Morris,Denville,1543
Hunterdon,Milford,1293
Morris,East Hanover,2341
Ocean,Point Pleasant,995
Cumberland,Downe,753
Morris,Hanover,1974
Ocean,Plumsted,394
Essex,Essex Fells,2199
Morris,Harding,2737
Gloucester,Elk,1084
Ocean,Point Pleasant Beach,2869
Gloucester,Pitman,889
Camden,Audubon Park,873
Camden,Lawnside,1475
Cape May,Cape May,4366
Hudson,Weehawken,2622
Middlesex,Jamesburg,840
Hudson,Union City,1569
Middlesex,Helmetta,1010
Ocean,Lavallette,4014
Hunterdon,Bloomsbury,1039
Ocean,Little Egg Harbor,946
Middlesex,Milltown,1150
Hunterdon,Alexandria,595
Ocean,Long Beach,7455
Middlesex,Metuchen,1121
Ocean,Manchester,626
Ocean,Mantoloking,13585
Middlesex,Edison,1160
Ocean,Ocean Twp,1306
Ocean,Pine Beach,1073
Middlesex,Sayreville,1200
Hudson,East Newark,1464
Gloucester,Woolwich,834
Hudson,Hoboken,1989
Middlesex,North Brunswick,1055
Hudson,Guttenberg,1515
Middlesex,Monroe,1294
Middlesex,Piscataway,960
Hudson,North Bergen,1345
Middlesex,Perth Amboy,1394
Hudson,Kearny,1802
Morris,Mendham Twp,1839
Morris,Morris Plains,2485
Morris,Florham Park,1835
Morris,Long Hill,2209
Morris,Chester,3004
Morris,Dover,1477
Morris,Boonton,1647
Morris,Butler,1829
Morris,Mount Arlington,2285
Morris,Mountain Lakes,2583
Atlantic,Estell Manor,616
Atlantic,Galloway,651
Hunterdon,Flemington,1064
Atlantic,Egg Harbor Twp,810
Hunterdon,Clinton Twp,924
Hunterdon,East Amwell,694
Hunterdon,Califon,941
Atlantic,Margate,4472
Atlantic,Hammonton,787
Atlantic,Linwood,1566
Union,Scotch Plains,1000
Union,Summit,1972
Warren,Belvidere,1346
Union,Kenilworth,1830
Warren,Franklin Twp,800
Morris,Roxbury,1459
Union,New Providence,1425
Union,Hillside,2021
Union,Linden,2339
Union,Roselle,1805
Union,Mountainside,1691
Union,Rahway,1772
Union,Plainfield,1440
Union,Springfield,1739
Union,Roselle Park,1130
Union,Westfield,1285
Union,Union Twp,1531
Warren,Hackettstown,1015
Warren,Allamuchy,769
Atlantic,Weymouth,694
Bergen,Alpine,2933
Bergen,Bergenfield,1267
Bergen,Carlstadt,3182
Atlantic,Mullica,869
Atlantic,Pleasantville,1398
Atlantic,Port Republic,882
Atlantic,Ventnor,2394
Morris,Pequannock,1344
Bergen,Closter,1709
Bergen,Cresskill,1962
Warren,Mansfield,773
Warren,Oxford,911
Warren,Knowlton,965
Warren,Lopatcong,902
Atlantic,Buena,860
Atlantic,Buena Vista,598
Atlantic,Absecon,1187
Atlantic,Atlantic City,5942
Bergen,Dumont,1174
Bergen,Englewood,2166
Bergen,Englewood Cliffs,2526
Bergen,East Rutherford,2659
Bergen,Elmwood Park,1336
Bergen,Garfield,1044
Bergen,Hackensack,2039
Monmouth,Roosevelt,1099
Bergen,Fairview,1178
Monmouth,Sea Bright,3833
Bergen,Franklin Lakes,1539
Monmouth,Ocean Twp,1188
Monmouth,Red Bank,1692
Bergen,Harrington Park,1247
Monmouth,Monmouth Beach,2097
Monmouth,Neptune City,1333
Warren,Independence,739
Monmouth,Marlboro,828
Warren,Hope,666
Monmouth,Middletown,989
Monmouth,Long Branch,1645
Monmouth,Manasquan,1501
Atlantic,Hamilton,948
Atlantic,Longport,8238
Atlantic,Somers Point,1247
Monmouth,Sea Girt,3458
Bergen,Allendale,1901
Bergen,Bogota,988
Bergen,Cliffside Park,1373
Bergen,Demarest,1616
Bergen,Ho-Ho-Kus,1911
Bergen,Haworth,2242
Bergen,Leonia,1475
Bergen,Lodi,1009
Bergen,Lyndhurst,1682
Bergen,Maywood,1681
Bergen,Midland Park,1405
Bergen,Moonachie,3152
Bergen,New Milford,1124
Bergen,Northvale,1590
Monmouth,West Long Branch,1196
Morris,Boonton Twp,1439
Monmouth,Shrewsbury Twp,815
Atlantic,Corbin City,865
Monmouth,Spring Lake Heights,1224
Monmouth,Union Beach,1399
Atlantic,Folsom,628
Monmouth,Upper Freehold,834
Atlantic,Egg Harbor,1373
Passaic,Pompton Lakes,1135
Passaic,North Haledon,1367
Passaic,Wayne,1162
Passaic,Ringwood,1202
Ocean,Surf City,4903
Ocean,Seaside Heights,4127
Passaic,Haledon,1061
Passaic,Bloomingdale,1257
Salem,Elmer,739
Salem,Mannington,729
Hunterdon,Lebanon Twp,784
Hunterdon,Raritan Twp,799
Hunterdon,Kingwood,795
Hunterdon,Lebanon,1355
Hunterdon,West Amwell,934
Hunterdon,Readington,1143
Hunterdon,Tewksbury,1694
Hunterdon,Hampton Boro,780
Hunterdon,High Bridge,1718
Hunterdon,Frenchtown,1236
Camden,Tavistock,26323
Camden,Winslow,741
Camden,Pine Hill,761
Camden,Somerdale,1079
Cape May,Stone Harbor,15666
