County  ,Municipality  ,Residential Buiding Permits,Certificates of Occupancy,Occupied Units Paying Rent,Median Rent ($),Average Residential Property Value ($),Housing Units,Occupied Units,% Occupied Units,Owner Occupied Units,% Owner Occupied Units
Warren,Liberty,1,2,125,"1,375","238,258","1,151","1,047",90.96,920,87.87
Atlantic,Brigantine,10,11,"1,257","1,143","410,655","9,222","4,294",46.56,"2,753",64.11
Monmouth,Deal,3,6,91,"1,165","2,486,461",926,333,35.96,221,66.37
Monmouth,Manalapan,100,186,828,"1,434","394,068","13,735","13,263",96.56,"12,159",91.68
Mercer,Princeton,8,26,-,-,"792,705","3,488","3,161",90.63,"1,498",47.39
Bergen,Norwood,3,1,353,"1,736","591,962","2,007","1,927",96.01,"1,610",83.55
Bergen,North Arlington,0,0,"2,643","1,184","317,208","6,573","6,295",95.77,"3,394",53.92
Middlesex,Old Bridge,35,46,"7,146","1,110","310,040","24,638","23,777",96.51,"16,846",70.85
Morris,Riverdale,55,96,276,"1,741","339,675","1,657","1,547",93.36,"1,309",84.62
Bergen,Montvale,16,35,486,"1,677","635,909","2,872","2,778",96.73,"2,321",83.55
Union,Winfield,0,0,459,754,"18,611",714,706,98.88,388,54.96
Bergen,Mahwah,9,6,"1,290","1,692","511,398","9,868","9,505",96.32,"7,839",82.47
Monmouth,Shrewsbury,27,24,57,"1,960","502,982","1,310","1,261",96.26,"1,201",95.24
Bergen,Hillsdale,4,17,420,"1,235","518,042","3,567","3,493",97.93,"3,114",89.15
Bergen,Hasbrouck Heights,7,5,"1,171","1,286","386,150","4,627","4,433",95.81,"3,093",69.77
Morris,Jefferson,3,9,668,"1,236","307,817","8,597","7,830",91.08,"6,835",87.29
Middlesex,South Plainfield,10,8,"1,120","1,523","318,486","8,093","7,876",97.32,"6,605",83.86
Bergen,Fort Lee,820,32,"6,315","1,504","493,410","17,818","16,371",91.88,"10,117",61.8
Middlesex,South Amboy,1,8,"1,084","1,117","277,809","3,576","3,372",94.3,"2,221",65.87
Bergen,Glen Rock,6,5,112,"1,222","587,376","4,016","3,917",97.53,"3,612",92.21
Bergen,Edgewater,66,7,"3,644","2,100","497,984","6,282","5,637",89.73,"2,196",38.96
Bergen,Fair Lawn,1,21,"2,664","1,365","352,976","12,266","11,930",97.26,"9,418",78.94
Monmouth,Asbury Park,2,25,"5,246",989,"221,786","8,076","6,725",83.27,"1,359",20.21
Monmouth,Allenhurst,0,1,81,"1,054","1,606,395",365,217,59.45,145,66.82
Middlesex,Woodbridge,161,103,"10,101","1,357","270,028","36,124","34,615",95.82,"23,886",69
Middlesex,Spotswood,0,4,524,723,"267,318","3,242","3,128",96.48,"2,556",81.71
Monmouth,Colts Neck,6,4,203,"2,100","850,206","3,735","3,277",87.74,"3,034",92.58
Monmouth,Brielle,7,6,180,"1,684","680,906","2,034","1,805",88.74,"1,585",87.81
Monmouth,Belmar,10,10,"1,401","1,307","525,233","3,931","2,695",68.56,"1,322",49.05
Monmouth,Atlantic Highlands,3,3,370,"1,379","400,586","2,002","1,870",93.41,"1,341",71.71
Salem,Upper Pittsgrove,4,8,201,"1,060","214,312","1,310","1,247",95.19,"1,079",86.53
Salem,Alloway,2,5,91,"1,619","189,577","1,268","1,193",94.09,"1,061",88.94
Somerset,Bound Brook,0,4,"1,552","1,199","270,995","3,816","3,586",93.97,"1,790",49.92
Somerset,Far Hills,0,0,68,"1,365","950,265",418,376,89.95,290,77.13
Somerset,Green Brook,4,2,152,"1,639","509,379","2,448","2,375",97.02,"2,178",91.71
Salem,Penns Grove,1,2,"1,206",999,"107,592","2,004","1,801",89.87,696,38.65
Salem,Pittsgrove,3,1,187,"1,164","196,763","3,445","3,307",95.99,"2,980",90.11
Bergen,Emerson,1,8,328,"1,247","458,858","2,552","2,480",97.18,"2,192",88.39
Ocean,Barnegat Twp,219,78,856,"1,446","251,568","9,085","8,128",89.47,"7,163",88.13
Bergen,Little Ferry,1,2,"2,094","1,283","390,697","4,439","4,239",95.49,"1,945",45.88
Bergen,River Edge,2,1,"1,006","1,415","438,375","4,261","4,134",97.02,"3,074",74.36
Morris,Wharton,1,0,776,"1,428","285,526","2,426","2,304",94.97,"1,382",59.98
Morris,Victory Gardens,0,0,331,"1,218","195,636",566,533,94.17,205,38.46
Ocean,Berkeley Twp,75,52,"1,847","1,242","206,312","23,818","20,349",85.44,"18,086",88.88
Somerset,Manville,1,3,"1,186","1,231","255,508","4,277","4,016",93.9,"2,709",67.46
Bergen,Teaneck,11,8,"3,041","1,243","424,662","14,024","13,470",96.05,"10,337",76.74
Ocean,Lakewood,389,489,"11,323","1,388","271,302","26,337","24,283",92.2,"12,570",51.76
Somerset,North Plainfield,0,0,"3,065","1,186","241,565","7,848","7,448",94.9,"4,212",56.55
Somerset,Raritan,231,0,989,"1,253","384,043","2,847","2,673",93.89,"1,584",59.26
Ocean,Barnegat Light,7,3,20,0,"813,096","1,282",274,21.37,237,86.5
Ocean,Ocean Gate,3,3,215,"1,169","229,890","1,203",832,69.16,559,67.19
Morris,Washington Twp,1,7,753,"1,414","447,499","6,488","6,237",96.13,"5,479",87.85
Ocean,Ship Bottom,11,7,83,"1,271","599,108","2,066",555,26.86,424,76.4
Sussex,Andover,0,0,108,"1,319","255,439",263,241,91.63,157,65.15
