County,Municipality,Area,Density
Warren,Liberty,12,250
Atlantic,Brigantine,6,1474
Monmouth,Deal,1,602
Monmouth,Manalapan,31,1282
Mercer,Princeton,2,6706
Bergen,Norwood,3,2130
Bergen,North Arlington,3,6068
Middlesex,Old Bridge,38,1739
Morris,Riverdale,2,1958
Bergen,Montvale,4,1990
Union,Winfield,0,8244
Bergen,Mahwah,26,1019
Monmouth,Shrewsbury,2,1801
Bergen,Hillsdale,3,3507
Bergen,Hasbrouck Heights,2,7905
Morris,Jefferson,39,549
Middlesex,South Plainfield,8,2841
Bergen,Fort Lee,3,14068
Middlesex,South Amboy,2,5626
Bergen,Glen Rock,3,4354
Bergen,Edgewater,1,12736
Bergen,Fair Lawn,5,6390
Monmouth,Asbury Park,1,11173
Monmouth,Allenhurst,0,1900
Middlesex,Woodbridge,23,4318
Middlesex,Spotswood,2,3702
Monmouth,Colts Neck,31,328
Monmouth,Brielle,2,2718
Monmouth,Belmar,1,5477
Monmouth,Atlantic Highlands,1,3381
Salem,Upper Pittsgrove,40,87
Salem,Alloway,33,104
Somerset,Bound Brook,2,6447
Somerset,Far Hills,5,192
Somerset,Green Brook,4,1618
Salem,Penns Grove,1,5593
Salem,Pittsgrove,45,206
Bergen,Emerson,2,3503
Ocean,Barnegat Twp,34,623
Bergen,Little Ferry,1,7250
Bergen,River Edge,2,6197
Morris,Wharton,2,3059
Morris,Victory Gardens,0,10207
Ocean,Berkeley Twp,43,968
Somerset,Manville,2,4406
Bergen,Teaneck,6,6671
Ocean,Lakewood,25,3773
Somerset,North Plainfield,3,7890
Somerset,Raritan,2,3639
Ocean,Barnegat Light,1,790
Ocean,Ocean Gate,0,4496
Morris,Washington Twp,44,422
Ocean,Ship Bottom,1,1631
Sussex,Andover,1,410
Bergen,Wyckoff,7,2575
Monmouth,Eatontown,6,2132
Essex,Nutley,3,8450
Bergen,Park Ridge,3,3435
Bergen,Westwood,2,4851
Bergen,Ridgefield Park,2,7479
Essex,Newark,24,11481
Bergen,Wallington,1,11829
Bergen,Rockleigh,1,546
Monmouth,Farmingdale,1,2527
Bergen,Saddle River,5,646
Monmouth,Englishtown,1,3349
Burlington,Evesham,29,1563
Monmouth,Highlands,1,6465
Essex,Livingston,14,2144
Essex,Glen Ridge,1,5933
Monmouth,Freehold Twp,39,937
Burlington,Delran,7,2561
Burlington,Burlington,3,3228
Monmouth,Interlaken,0,2488
Essex,Montclair,6,5999
Atlantic,Northfield,3,2541
Burlington,Beverly,1,4678
