County,Municipality,TANF %,% SNAP Beneficiaries
Warren,Liberty,0.1,1.19
Atlantic,Brigantine,0.31,7
Monmouth,Deal,0,6.66
Monmouth,Manalapan,0.06,1.97
Mercer,Princeton,0.05,1.48
Bergen,Norwood,0.03,1.06
Bergen,North Arlington,0.14,3.89
Middlesex,Old Bridge,0.1,3.93
Morris,Riverdale,0.25,3.13
Bergen,Montvale,0.01,0.81
Union,Winfield,0,3.85
Bergen,Mahwah,0.03,1.39
Monmouth,Shrewsbury,0,0.29
Bergen,Hillsdale,0.01,1.45
Bergen,Hasbrouck Heights,0.14,3.59
Morris,Jefferson,0.09,2.42
Middlesex,South Plainfield,0.09,2.96
Bergen,Fort Lee,0.08,3.92
Middlesex,South Amboy,0.59,12.27
Bergen,Glen Rock,0,0.44
Bergen,Edgewater,0.16,3.05
Bergen,Fair Lawn,0.07,2.9
Monmouth,Asbury Park,1.46,27.17
Monmouth,Allenhurst,0,3.82
Middlesex,Woodbridge,0.16,4.31
Middlesex,Spotswood,0.02,3.78
Monmouth,Colts Neck,0,0.84
Monmouth,Brielle,0.08,0.88
Monmouth,Belmar,0.21,6.53
Monmouth,Atlantic Highlands,0.23,5.38
Salem,Upper Pittsgrove,0.26,3.61
Salem,Alloway,0.32,3.76
Somerset,Bound Brook,0.56,10.38
Somerset,Far Hills,0,2.17
Somerset,Green Brook,0.03,1.47
Salem,Penns Grove,2.53,39.71
Salem,Pittsgrove,0.16,7.06
Bergen,Emerson,0.12,1.36
Ocean,Barnegat Twp,0.42,6.83
Bergen,Little Ferry,0.15,5.42
Bergen,River Edge,0.02,1.55
Morris,Wharton,0.38,9.56
Morris,Victory Gardens,0.46,4.19
Ocean,Berkeley Twp,0.1,2.98
Somerset,Manville,0.29,7.02
Bergen,Teaneck,0.19,4.16
Ocean,Lakewood,0.41,25.12
Somerset,North Plainfield,0.26,9
Somerset,Raritan,0.3,5.28
Ocean,Barnegat Light,0,2.6
Ocean,Ocean Gate,0.99,11.92
Morris,Washington Twp,0.02,1.02
Ocean,Ship Bottom,0.17,3.88
Sussex,Andover,0.33,16.09
Bergen,Wyckoff,0.04,0.37
Monmouth,Eatontown,0.35,8
Essex,Nutley,0.11,2.52
Bergen,Park Ridge,0.02,1.37
Bergen,Westwood,0.05,2.45
Bergen,Ridgefield Park,0.24,6.31
Essex,Newark,2.22,26.52
Bergen,Wallington,0.1,4.91
Bergen,Rockleigh,0.38,0.75
Monmouth,Farmingdale,0.3,27.07
Bergen,Saddle River,0.13,0.79
Monmouth,Englishtown,0.16,8.55
Burlington,Evesham,0.06,2.54
Monmouth,Highlands,0.16,7.21
Essex,Livingston,0.02,0.73
Essex,Glen Ridge,0.08,0.53
Monmouth,Freehold Twp,0.05,2.34
Burlington,Delran,0.09,4.66
Burlington,Burlington,1.36,16.32
Monmouth,Interlaken,0,4.63
Essex,Montclair,0.25,4.43
Atlantic,Northfield,0.14,4.55
Burlington,Beverly,1.39,28.08
Monmouth,Holmdel,0.02,0.94
Essex,Maplewood,0.21,3.71
Bergen,Oradell,0.02,0.85
Essex,Caldwell,0.1,2.14
Monmouth,Lake Como,0.11,1.48
Essex,Bloomfield,0.31,6.76
Monmouth,Keansburg,0.87,18.42
Essex,Fairfield,0.05,1
Burlington,Mansfield,0.14,1.58
Burlington,Hainesport,0.08,4.3
Essex,East Orange,1.89,23.9
Monmouth,Little Silver,0,0.24
Sussex,Franklin,0.32,9.76
Sussex,Hampton Twp,0,0.37
Sussex,Byram,0.02,0.19
Sussex,Sparta,0.02,1.29
Burlington,Moorestown,0.15,2.95
Sussex,Wantage,0.04,1.75
Burlington,Pemberton Twp,0.56,9.81
Bergen,Teterboro,0,23.88
Sussex,Hopatcong,0.06,2.77
Burlington,Chesterfield,0.05,1.13
Sussex,Newton,0.45,17.2
Warren,Phillipsburg,1.1,23.17
Warren,Hardwick,0.41,1.18
Ocean,Lakehurst,0.52,9.07
Warren,Harmony,0.19,2.71
Ocean,Lacey,0.22,4.22
Warren,Frelinghuysen,0,1.57
Union,Clark,0.02,1.44
