County,Municipality,School  Tax Rate (%),Property Tax as % Income
Warren,Liberty,1.72,7.4
Atlantic,Brigantine,0.49,9
Monmouth,Deal,0.09,7.16
Monmouth,Manalapan,1.28,5.22
Mercer,Princeton,0.31,-
Bergen,Norwood,1.24,5.96
Bergen,North Arlington,1.46,6.84
Middlesex,Old Bridge,1.28,5.58
Morris,Riverdale,0.78,4.75
Bergen,Montvale,1.08,5.7
Union,Winfield,8.85,5.89
Bergen,Mahwah,0.9,4.28
Monmouth,Shrewsbury,1.18,5.71
Bergen,Hillsdale,1.6,7.42
Bergen,Hasbrouck Heights,1.43,6.99
Morris,Jefferson,1.39,6.46
Middlesex,South Plainfield,1.14,6.09
Bergen,Fort Lee,0.82,4.13
Middlesex,South Amboy,0.98,6.55
Bergen,Glen Rock,1.73,6.4
Bergen,Edgewater,0.5,4.33
Bergen,Fair Lawn,1.68,7.09
Monmouth,Asbury Park,0.55,6.79
Monmouth,Allenhurst,0.01,5.53
Middlesex,Woodbridge,1.46,6.34
Middlesex,Spotswood,1.5,7.18
Monmouth,Colts Neck,1.05,3.52
Monmouth,Brielle,0.84,5.41
Monmouth,Belmar,0.49,6.09
Monmouth,Atlantic Highlands,1.11,6.52
Salem,Upper Pittsgrove,1.25,6.19
Salem,Alloway,1.3,5.71
Somerset,Bound Brook,1.58,7.88
Somerset,Far Hills,0.4,0.98
Somerset,Green Brook,1.44,6.25
Salem,Penns Grove,1.23,7.87
Salem,Pittsgrove,1.45,5.45
Bergen,Emerson,1.34,7.46
Ocean,Barnegat Twp,1.19,8.03
Bergen,Little Ferry,1.27,7.65
Bergen,River Edge,1.74,7.82
Morris,Wharton,1.74,6.6
Morris,Victory Gardens,1.07,5.14
Ocean,Berkeley Twp,0.91,7.87
Somerset,Manville,1.38,8.4
Bergen,Teaneck,1.44,6.34
Ocean,Lakewood,0.99,6.55
Somerset,North Plainfield,1.81,8.13
Somerset,Raritan,1.25,5.81
Ocean,Barnegat Light,0.25,6.59
Ocean,Ocean Gate,1.02,10.24
Morris,Washington Twp,1.62,5.53
Ocean,Ship Bottom,0.24,7.16
Sussex,Andover,1.39,6.82
Bergen,Wyckoff,1.21,4.29
Monmouth,Eatontown,1.07,5.65
Essex,Nutley,1.35,7.12
Bergen,Park Ridge,1.37,5.58
Bergen,Westwood,1.27,7.17
Bergen,Ridgefield Park,1.63,7.95
Essex,Newark,0.77,5.85
Bergen,Wallington,1.32,6.17
Bergen,Rockleigh,0.27,2.29
Monmouth,Farmingdale,1.39,5.5
Bergen,Saddle River,0.3,1.61
Monmouth,Englishtown,1.27,6.1
Burlington,Evesham,1.68,5.51
Monmouth,Highlands,1.12,7.37
Essex,Livingston,1.3,3.28
Essex,Glen Ridge,1.8,6.45
Monmouth,Freehold Twp,1.45,5.78
Burlington,Delran,1.73,6.39
Burlington,Burlington,1.54,7.05
Monmouth,Interlaken,0.17,4.57
Essex,Montclair,1.57,5.72
Atlantic,Northfield,1.56,7.08
Burlington,Beverly,2.15,7.76
Monmouth,Holmdel,1.24,4.59
Essex,Maplewood,1.77,6.67
Bergen,Oradell,1.4,5.92
Essex,Caldwell,1.15,6.04
Monmouth,Lake Como,0.78,8.41
Essex,Bloomfield,1.45,7.94
Monmouth,Keansburg,0.83,8.24
Essex,Fairfield,0.87,5.49
Burlington,Mansfield,1.5,6.79
Burlington,Hainesport,1.3,4.86
Essex,East Orange,0.59,9.36
Monmouth,Little Silver,1.15,5.33
Sussex,Franklin,1.47,7.05
Sussex,Hampton Twp,1.49,5.65
Sussex,Byram,1.67,6.9
Sussex,Sparta,1.64,6.72
Burlington,Moorestown,1.4,3.98
Sussex,Wantage,1.69,6.69
Burlington,Pemberton Twp,0.71,5.4
Bergen,Teterboro,0.03,-25.52
Sussex,Hopatcong,1.35,7.47
Burlington,Chesterfield,1.73,7.11
Sussex,Newton,1.73,8.29
Warren,Phillipsburg,0.96,6.66
Warren,Hardwick,1.32,5.47
Ocean,Lakehurst,0.56,6.12
Warren,Harmony,1.05,5.83
Ocean,Lacey,1.03,5.93
Warren,Frelinghuysen,1.16,6.28
Union,Clark,1.2,6.83
Ocean,Jackson,1.17,6.13
Warren,Greenwich,1.18,5.61
Union,Fanwood,1.54,7.2
Ocean,Island Heights,0.86,7.52
Warren,Alpha,1.4,6.93
Warren,Blairstown,1.34,6.39
Ocean,Bay Head,0.19,7.5
Gloucester,Harrison Twp,1.47,5.11
Mercer,Hopewell Twp,1.44,4.98
Gloucester,Greenwich,0.97,5.78
Ocean,Beach Haven,0.29,6.56
Mercer,Hopewell,1.42,6.76
Mercer,Hamilton,1.19,5.48
Gloucester,Franklin Twp,1.47,6.21
Mercer,East Windsor,1.88,6.26
Gloucester,East Greenwich,1.63,5.63
Ocean,Eagleswood,1.22,6
Ocean,Harvey Cedars,0.21,4.5
Ocean,Beachwood,0.81,5.6
Ocean,Brick,0.86,7.22
Gloucester,Mantua,1.61,5.82
Essex,Orange,0.76,9.3
Middlesex,Dunellen,1.76,7.66
Middlesex,Cranbury,1.07,3.92
Mercer,West Windsor,1.41,5.03
Gloucester,Deptford,1.19,5.56
Essex,West Orange,2.04,7.49
Mercer,Robbinsville,1.55,6.51
Essex,West Caldwell,1.11,5.82
Mercer,Princeton Twp,-,-
Essex,South Orange,1.74,6.46
Mercer,Pennington,1.4,5.27
Warren,Pohatcong,1.56,8.14
Warren,Washington,1.76,7.81
Warren,White,1.23,6.38
Morris,Chatham,1.03,4.15
Gloucester,Woodbury,1.9,7.41
Morris,Chatham Twp,1.01,3.42
Hudson,West New York,0.64,4.1
Morris,Chester Twp,1.37,4.63
Morris,Denville,1.36,5.75
Hunterdon,Milford,2.01,7.82
Morris,East Hanover,0.82,4.82
Ocean,Point Pleasant,0.94,6.8
Cumberland,Downe,0.76,6.5
Morris,Hanover,0.85,4.61
Ocean,Plumsted,1.27,5.33
Essex,Essex Fells,0.96,3.83
Morris,Harding,0.39,3.32
Gloucester,Elk,1.38,7.08
Ocean,Point Pleasant Beach,0.53,6.98
Gloucester,Pitman,1.85,6.81
Camden,Audubon Park,1.32,4.65
Camden,Lawnside,1.77,8.94
Cape May,Cape May,0.29,8.57
Hudson,Weehawken,0.71,5.14
Middlesex,Jamesburg,1.63,7.09
Hudson,Union City,0.53,6.29
Middlesex,Helmetta,1.46,6.72
Ocean,Lavallette,0.17,6.19
Hunterdon,Bloomsbury,1.51,6.25
Ocean,Little Egg Harbor,1.01,7.29
Middlesex,Milltown,1.44,6.9
Hunterdon,Alexandria,1.61,6.14
Ocean,Long Beach,0.26,6.81
Middlesex,Metuchen,1.51,6.17
Ocean,Manchester,1.1,6.52
Ocean,Mantoloking,0,6.91
Middlesex,Edison,1.34,5.32
Ocean,Ocean Twp,0.75,6.42
Ocean,Pine Beach,0.84,5.89
Middlesex,Sayreville,1.21,5.99
Hudson,East Newark,0.93,5.96
Gloucester,Woolwich,1.99,6.44
Hudson,Hoboken,0.38,3.01
Middlesex,North Brunswick,1.73,6.04
