,,,,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,% Democrats,% Democrats,% Democrats,% Democrats,% Democrats,% Republicans,% Republicans,% Republicans,% Republicans,% Republicans,Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%)
County  ,Municipality  ,LD  ,CD  ,2010,2011,2012,2013,2014,2010,2011,2012,2013,2014,2010,2011,2012,2013,2014,2010,2011,2012,2013,2014,2010,2011,2012,2013,2014
Warren,Liberty,24,5,"1,898","1,835","1,894","1,923","1,910",64.51,62.61,65.31,66.49,66.57,20.39,20.49,20.05,17.82,17.36,41.2,39.62,40.43,38.8,39.16,41.36,18.75,62.99,42.12,37.23
Atlantic,Brigantine,2,2,"6,737","6,548","6,944","6,977","6,885",71.29,69.34,73.72,74.18,73.75,18.57,18.81,18.45,18.66,18.61,41.37,42.39,40.34,40.5,40.38,53.18,45.77,66.32,44.42,56.11
Monmouth,Deal,11,6,636,615,602,597,564,84.8,81.89,80.7,80.35,76.53,18.71,17.24,17.11,18.76,18.79,23.27,24.07,25.08,25.46,25.35,37.89,21.63,52.49,27.3,27.84
Monmouth,Manalapan,12,4,"26,566","26,408","27,734","28,056","28,266",68.34,67.86,70.7,70.4,70.69,26.45,25.97,24.78,25.07,24.69,16.92,16.96,17.3,17.83,17.75,39.28,20.07,66.52,37.72,31.38
Mercer,Princeton (prior to 2013),15,12,"7,154","6,940","20,328",-,-,-,57.21,164.75,-,-,53.58,52.53,49.3,-,-,9.48,9.4,11.78,-,-,38.78,35.71,62.66,-,-
Bergen,Norwood,39,5,"3,443","3,423","3,683","3,510","3,448",60.29,59.55,63.34,60.55,59.18,27.49,26.99,26.25,26.28,26.23,20.67,20.68,20.19,20.11,19.86,51.82,37.51,70.7,42.34,45.16
Bergen,North Arlington,36,9,"8,193","8,111","9,138","8,783","8,622",53.23,52.35,58.83,56.19,54.84,32.9,32.97,32.91,33.72,33.07,18.59,18.44,17.95,18.22,18.11,50.02,36.47,71.58,48.46,48.52
Middlesex,Old Bridge,12,"6, 12","38,782","37,874","39,947","40,437","40,386",59.32,57.62,60.36,60.74,60.27,28.32,28.3,27.32,27.79,27.54,16.42,16.39,16.35,16.73,16.58,34.7,25.9,61.09,37.46,26.82
Morris,Riverdale,40,11,"2,406","2,469","2,659","2,717","2,783",67.6,68.99,67.57,66.92,68.78,17.46,17.29,17.07,17.81,17.36,34.21,36.25,36.63,36.33,37.91,38.4,44.19,72.66,42.66,34.06
Bergen,Montvale,39,5,"4,955","4,977","5,494","5,299","5,276",63.17,63.03,69.03,66.07,64.75,21,21.04,20.63,20.87,21.01,30.28,29.69,28.44,28.08,27.27,50.68,38.06,73.84,47.44,41.49
Union,Winfield,22,7,"1,059","1,044","1,053","1,048","1,051",71.99,70.54,70.96,70.1,69.97,37.11,36.97,36.37,36.93,36.74,18.22,17.34,17.09,18.13,17.38,35.03,27.11,68.57,45.52,31.3
Bergen,Mahwah,39,5,"14,361","14,464","16,357","15,601","15,457",55.47,55.54,62.51,59.2,58.33,22.31,22.23,21.63,22.14,21.88,28.44,28.38,27.7,28.17,27.54,50.8,46.86,74.6,47.38,47.75
Monmouth,Shrewsbury,11,4,"2,897","2,841","2,935","3,000","3,103",76.06,74.51,75.08,76.2,75.22,23.09,22.32,21.26,21.93,21.5,30.24,30.17,29.68,29.63,28.75,51.05,28.93,72.23,44.33,38.83
Bergen,Hillsdale,39,5,"6,893","6,921","7,348","7,185","7,140",67.45,67.29,71.02,68.93,68.12,23.7,23.56,23.45,23.7,23.24,29.42,28.77,28.09,27.69,27.01,48.6,39.71,75.35,49.21,48.59
Bergen,Hasbrouck Heights,38,9,"7,001","6,957","7,558","7,346","7,274",59.12,58.37,63.32,61.1,59.88,22.44,22.39,22.18,22.8,22.58,35.54,34.73,33.28,32.72,31.64,46.65,35.89,74.62,48.61,42.29
Morris,Jefferson,26,11,"13,628","13,266","13,742","13,715","13,903",63.94,61.9,64.01,63.73,64.72,18.03,17.97,17.59,17.97,17.77,32.77,32.64,32.27,32.39,31.91,43.96,17.06,67.52,42.21,32.58
Middlesex,South Plainfield,18,6,"14,087","13,754","14,424","14,512","14,588",60.24,58.5,60.94,61.02,60.88,31.04,31.31,30.59,31.24,30.74,15.97,15.81,15.39,15.64,15.44,45.87,33.42,69.15,43.34,40.44
Bergen,Fort Lee,37,9,"17,203","17,353","19,738","18,356","17,981",48.67,48.77,55.24,50.97,48.56,40.95,40.41,39.75,39.78,41.43,13.54,13.44,13.17,13.46,13.08,87.82,34.02,65.61,38.09,40.85
Middlesex,South Amboy,19,6,"5,435","5,312","5,491","5,486","5,495",62.97,61.21,62.96,62.27,62.07,41.67,40.5,39.57,39.97,43.73,11.28,11.5,11.78,11.96,11.76,49.7,20.93,59.53,38.35,29.94
Bergen,Glen Rock,38,5,"7,865","7,862","8,486","8,196","8,041",67.8,67.33,71.92,69.23,67.57,30.39,30.56,29.58,30,29.74,24.41,24.08,23.52,23.55,22.95,50.17,42.18,74.55,52.82,59.87
Bergen,Edgewater,32,9,"4,475","4,388","5,877","5,148","4,826",38.87,37.86,49.09,42.38,39.1,42.55,42.9,41.96,41.14,39.08,9.95,10.03,9.45,9.94,9.83,41.72,22.63,59.74,28.09,39.54
Bergen,Fair Lawn,38,5,"19,642","19,709","21,563","20,718","20,561",60.52,60.33,65.65,62.79,61.29,35.15,34.65,33.32,33.36,32.56,17.77,17.74,17.66,18.12,17.86,48.96,38.86,71.76,46.54,43.52
Monmouth,Asbury Park,11,6,"7,843","7,458","8,486","8,819","9,182",48.67,46.23,53.49,55.62,58.19,35.66,36.52,40.5,42.15,40.56,6.09,6.33,5.86,5.83,5.58,30.55,16.61,57.7,25.93,37.28
Monmouth,Allenhurst,11,6,412,398,402,376,379,83.06,80.08,81.38,76.27,77.51,18.2,17.59,17.41,18.62,17.94,30.83,29.9,31.09,32.98,32.45,56.55,33.92,69.65,47.87,48.28
Middlesex,Woodbridge,19,6,"54,370","52,836","55,262","56,121","56,060",54.6,52.77,55.14,55.8,55.6,38.7,39.18,37.73,38.35,37.68,11.41,11.4,11.13,11.32,11.13,32.67,26.82,65.69,37.53,28.29
Middlesex,Spotswood,14,12,"5,097","4,991","5,177","5,254","5,259",61.73,60.13,61.61,62.53,62.26,29.53,28.91,27.89,27.77,27.63,19.05,18.85,18.74,19.38,19.09,41.65,25.33,68.71,43.59,35.6
Monmouth,Colts Neck,11,4,"7,458","7,362","7,634","7,624","7,615",73.54,72.52,75.63,75.49,75.66,13.1,12.97,12.48,12.46,12.59,38.27,39.8,39.6,39.27,38.42,45.8,34.38,71.04,41.83,39.62
Monmouth,Brielle,30,4,"3,698","3,692","3,830","3,852","3,848",77.46,77.27,80.08,80.74,80.86,16.98,16.66,16.34,16.64,16.29,40.1,39.33,39.24,39.62,39.11,48.92,25.95,74.65,50.96,43.4
Monmouth,Belmar,30,4,"3,887","3,855","4,011","4,043","4,162",67.09,66.47,69.74,70.48,72.77,28.48,27.91,26.73,27.38,26.36,20.02,19.71,19.7,20.43,19.39,57.78,37.46,64.42,51.84,56.97
