,,,,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,% Democrats,% Democrats,% Democrats,% Democrats,% Democrats,% Republicans,% Republicans,% Republicans,% Republicans,% Republicans,Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%)
County  ,Municipality  ,LD  ,CD  ,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018
Warren,Liberty,24,5,"1,910","1,943","2,053","2,005","2,075",66.57,68.15,72.09,70.52,73.58,17.36,17.33,20.79,20.55,-,39.16,38.43,43.41,42.94,-,37.23,14.31,69.31,43.04,56.48
Atlantic,Brigantine,2,2,"6,885","6,706","7,071","6,775","6,822",73.75,72.86,78.2,75.59,77.83,18.61,18.56,21.69,22.16,-,40.38,39.91,41,42.24,-,56.11,32.6,67.7,43.9,59.98
Monmouth,Deal,11,6,564,535,539,523,509,76.53,72.49,73.53,71.35,70.4,18.79,18.27,18.92,21.03,-,25.35,25.42,28.57,28.11,-,27.84,15.7,61.04,31.17,45.97
Monmouth,Manalapan,12,4,"28,266","27,979","29,846","29,713","30,031",70.69,69.65,74.58,74.26,75.84,24.69,23.9,26.07,26.65,-,17.75,18.16,22.58,23.95,-,31.38,16.61,72,35.57,55.87
Bergen,Norwood,39,5,"3,448","3,553","3,824","3,660","3,746",59.18,60.54,65.28,62.09,64.24,26.23,26.55,29.15,30.52,-,19.86,19.44,22.11,22.63,-,45.16,25.98,73.25,48.33,63.27
Bergen,North Arlington,36,9,"8,622","8,973","9,594","9,184","9,239",54.84,56.42,60.46,57.37,58.69,33.07,32.69,36.09,36.69,-,18.11,17.82,19.94,19.61,-,48.52,26.81,73.97,44.13,62.69
Middlesex,Old Bridge,12,"6, 12","40,386","40,701","44,244","42,907","44,273",60.27,60.55,66.36,64.01,67.18,27.54,27.08,29.75,31.2,-,16.58,17.1,19.6,21.34,-,26.82,24.04,66.04,35.56,50.41
Morris,Riverdale,40,11,"2,783","2,858","3,066","3,014","3,080",68.78,66.89,72.09,70.97,73.51,17.36,15.71,17.87,18.75,-,37.91,42.86,42.34,42.1,-,34.06,31.81,73.52,39.95,57.37
Bergen,Montvale,39,5,"5,276","5,401","5,780","5,629","5,812",64.75,63.98,67.95,64.52,67.58,21.01,20.57,23.73,24.68,-,27.27,27.05,29.44,28.83,-,41.49,37.42,76.16,46.94,63.87
Union,Winfield,22,7,"1,051","1,025","1,061","1,041","1,066",69.97,67.88,70.4,68.13,70.64,36.74,35.87,37.98,38.14,-,17.38,17.3,21.02,20.75,-,31.3,27.51,70.97,41.59,56.1
Bergen,Mahwah,39,5,"15,457","16,126","17,408","16,574","16,917",58.33,60.65,65.59,61.94,64.13,21.88,21.61,25.38,25.84,-,27.54,27,29.93,29.97,-,47.75,18.71,75.3,48.64,67.8
Monmouth,Shrewsbury,11,4,"3,103","3,038","3,271","3,244","3,368",75.22,73.54,79.35,78.7,82.45,21.5,21.18,24.52,24.97,-,28.75,29,31.12,31.94,-,38.83,24.52,75.6,52.56,66.45
Bergen,Hillsdale,39,5,"7,140","7,370","7,768","7,546","7,615",68.12,69.8,73.91,71.32,73.19,23.24,22.78,26.83,26.99,-,27.01,26.27,28.22,27.57,-,48.59,35.14,76.4,46.75,65.87
Bergen,Hasbrouck Heights,38,9,"7,274","7,545","8,119","7,895","8,028",59.88,61.71,66.65,64.31,66.46,22.58,21.76,26.23,27.62,-,31.64,35.31,36.02,34.49,-,42.29,40.32,76.3,44.46,63.71
Morris,Jefferson,26,11,"13,903","13,850","14,791","14,810","15,251",64.72,64.44,69.1,69.31,72.58,17.77,17.55,20.26,20.99,-,31.91,31.41,33.83,34.65,-,32.58,12.66,72.18,38.94,57.85
Middlesex,South Plainfield,18,6,"14,588","14,694","15,731","15,464","15,888",60.88,60.49,64.95,63.29,65.84,30.74,30.19,33.2,34.44,-,15.44,15.29,16.51,17.06,-,40.44,26.78,68.77,41.95,56.94
Bergen,Fort Lee,37,9,"17,981","19,084","21,308","19,942","20,423",48.56,52.04,56.7,52.61,53.86,41.43,40.35,43.78,43.89,-,13.08,13.05,14.67,14.69,-,40.85,25.28,67.79,36.23,57.04
Middlesex,South Amboy,19,6,"5,495","5,532","5,814","5,655","5,876",62.07,62.54,66.23,63.85,65.87,43.73,42.68,44.27,44.25,-,11.76,11.51,13.89,15.54,-,29.94,18.6,62.37,36.43,50.17
Bergen,Glen Rock,38,5,"8,041","8,292","8,855","8,424","8,526",67.57,69.11,74.13,69.94,72.08,29.74,29.57,34.16,34.94,-,22.95,22.37,23.38,23.26,-,59.87,43.48,76.65,52.08,70.08
Bergen,Edgewater,32,9,"4,826","5,520","6,456","5,771","6,049",39.1,45.87,53.6,46.66,47.56,39.08,38.02,43.68,43.55,-,9.83,9.78,11.91,12.67,-,39.54,16.09,65.38,31.78,57.56
Bergen,Fair Lawn,38,5,"20,561","21,151","22,745","21,819","22,031",61.29,62.96,67.99,64.73,66.5,32.56,31.79,36.23,36.64,-,17.86,17.95,19.93,20.22,-,43.52,28.38,74.19,44.59,63.44
Monmouth,Asbury Park,11,6,"9,182","8,701","9,218","8,863","9,184",58.19,55.01,58.63,56.21,59.21,40.56,39.46,44.3,46.19,-,5.58,6,6.93,7.59,-,37.28,17.95,58.15,31.02,46.84
Monmouth,Allenhurst,11,6,379,360,384,370,343,77.51,73.32,78.85,75.66,70.72,17.94,18.16,21.35,21.89,-,32.45,33.24,33.33,33.78,-,48.28,30.83,75.78,47.57,63.56
Middlesex,Woodbridge,19,6,"56,060","56,290","60,521","59,040","60,702",55.6,55.13,59.69,57.9,60.43,37.68,37.17,40.62,42.65,-,11.13,10.88,12.79,13.69,-,28.29,22.29,65.27,35.33,48.29
Middlesex,Spotswood,14,12,"5,259","5,288","5,703","5,574","5,744",62.26,62.39,67.66,65.92,69.15,27.63,26.87,28.32,29.31,-,19.09,18.91,22.09,23.36,-,35.6,26.17,71,39.61,55.38
Monmouth,Colts Neck,11,4,"7,615","7,473","7,955","7,995","8,058",75.66,74.44,79.83,80.21,81.57,12.59,12.36,14.54,15,-,38.42,38.35,41.41,42.69,-,39.62,19.22,73.55,42.53,60.51
Monmouth,Brielle,30,4,"3,848","3,857","4,046","4,100","4,150",80.86,81.08,85.81,86.79,88.47,16.29,15.82,17.4,18.27,-,39.11,38.68,41.28,41.63,-,43.4,22.84,78.67,49.68,66.72
