,,,,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating
County  ,Municipality  ,LD  ,CD  ,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018
Warren,Liberty,24,5,"257,432,448","274,249,694","275,463,115","278,625,808","286,108,573","89,729","96,194","96,722","98,004","101,457","36,600.94","38,224.47",-,-,-,"2,534","2,491",-,-,-,86.35,86.38,102.46,87.28,87.73,-,-,-,-,-
Atlantic,Brigantine,2,2,"3,500,509,702","3,423,794,236","3,304,586,943","3,267,332,093","3,292,677,621","374,947","371,990","365,471","364,536","375,662","34,639.46","35,354.38",-,-,-,"7,600","7,433",-,-,-,95.31,95.22,102.17,95.57,95.71,Aa3,Aa3,Aa3,Aa3,-
Monmouth,Deal,11,6,"2,070,180,822","2,086,507,982","2,198,461,628","2,171,428,258","3,079,828,708","2,808,929","2,827,247","2,999,266","2,962,385","4,259,791","120,503.52","116,110.15",-,-,-,548,532,-,-,-,93.92,94.45,110.13,94.11,94.15,-,-,-,-,-
Monmouth,Manalapan,12,4,"6,234,359,701","6,385,559,229","6,463,681,306","6,692,366,754","158,464,216","155,910","158,967","161,519","167,255","4,002","50,984.28","52,982.77",-,-,-,"41,087","41,245",-,-,-,91.73,92.14,102.38,91.77,91.42,Aa2,Aa2,Aa1,Aa1,-
Bergen,Norwood,39,5,"1,236,626,154","1,282,914,584","1,297,656,158","1,271,251,127","1,276,152,090","212,260","218,592","221,519","215,649","218,856","68,979.57","70,427.50",-,-,-,"5,312","5,289",-,-,-,83.74,83.79,109.47,84.16,84.36,Aa2,Aa2,Aa2,Aa2,-
Bergen,North Arlington,36,9,"1,481,123,536","1,542,491,300","1,560,674,186","1,639,782,045","1,739,187,935","94,201","96,988","98,354","102,429","110,488","34,169.39","35,059.15",-,-,-,"14,560","14,924",-,-,-,79.82,80.11,105.65,76.56,76.1,-,-,-,-,-
Middlesex,Old Bridge,12,"6, 12","6,952,564,280","7,301,202,830","7,491,470,380","8,124,624,063","2,334,649,357","103,754","108,625","112,361","121,205","35,428","37,396.69","38,587.76",-,-,-,"62,129","62,823",-,-,-,82.19,81.92,218.15,82.02,81.35,Aa2,Aa1,Aa1,Aa1,-
Morris,Riverdale,40,11,"856,579,498","857,305,907","866,688,921","936,198,874","925,255,934","211,710","200,633","203,783","220,438","220,825","46,196.10","47,670.49",-,-,-,"3,970","3,991",-,-,-,60.79,61.1,112.33,62.17,61.87,-,-,-,-,-
Bergen,Montvale,39,5,"2,202,486,516","2,187,013,558","2,288,500,542","2,291,556,345","2,279,776,452","270,310","259,063","269,045","262,673","265,090","71,147.22","67,440.22",-,-,-,"8,239","8,213",-,-,-,68.51,67.84,112.35,70.13,71.03,-,-,-,-,-
