"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"County  ","Municipality  ","LD  ","CD  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  "
"Warren","Liberty","24","5","2,942","2,942","2,942","2,942","2,942","2,869","2,851","2,848","2,843","2,820","-2.48","-3.09","-3.2","-3.37","-4.15","2,130","2,050","2,063","2,016","-","705","725","491","773","-","33.1","35.37","23.8","38.34","-","215","193","218","219","-","7.42","6.71","7.6","7.67","-","30","30","30","30","30","1.02","1.02","1.02","1.02","1.02","44","44","44","44","44","1.5","1.5","1.5","1.5","1.5","122","122","122","122","122","4.15","4.15","4.15","4.15","4.15","136","136","136","136","136","4.62","4.62","4.62","4.62","4.62","283","283","283","283","283","9.62","9.62","9.62","9.62","9.62"
"Atlantic","Brigantine","2","2","9,450","9,450","9,450","9,450","9,450","9,336","9,204","9,042","8,963","8,765","-1.21","-2.6","-4.32","-5.15","-7.25","7,172","7,282","7,558","7,616","-","2,470","2,527","1,857","2,611","-","34.44","34.7","24.57","34.28","-","905","872","1,030","887","-","9.61","9.33","11.15","9.68","-","275","275","275","275","275","2.91","2.91","2.91","2.91","2.91","446","446","446","446","446","4.72","4.72","4.72","4.72","4.72","650","650","650","650","650","6.88","6.88","6.88","6.88","6.88","379","379","379","379","379","4.01","4.01","4.01","4.01","4.01","2,056","2,056","2,056","2,056","2,056","21.76","21.76","21.76","21.76","21.76"
"Monmouth","Deal","11","6","750","750","750","750","750","737","738","733","733","723","-1.73","-1.6","-2.27","-2.27","-3.6","608","593","569","462","-","192","187","122","134","-","31.58","31.53","21.44","29","-","127","121","121","107","-","16.51","15.98","17.09","18.48","-","12","12","12","12","12","1.6","1.6","1.6","1.6","1.6","26","26","26","26","26","3.47","3.47","3.47","3.47","3.47","55","55","55","55","55","7.33","7.33","7.33","7.33","7.33","21","21","21","21","21","2.8","2.8","2.8","2.8","2.8","215","215","215","215","215","28.67","28.67","28.67","28.67","28.67"
"Monmouth","Manalapan","12","4","38,872","38,872","38,872","38,872","38,872","39,987","40,169","40,018","40,013","39,596","2.87","3.34","2.95","2.94","1.86","26,180","26,485","26,983","27,108","-","12,136","12,605","7,607","13,234","-","46.36","47.59","28.19","48.82","-","4,757","5,121","5,088","5,502","-","12.03","12.87","12.74","13.72","-","925","925","925","925","925","2.38","2.38","2.38","2.38","2.38","2,682","2,682","2,682","2,682","2,682","6.9","6.9","6.9","6.9","6.9","2,202","2,202","2,202","2,202","2,202","5.66","5.66","5.66","5.66","5.66","2,047","2,047","2,047","2,047","2,047","5.27","5.27","5.27","5.27","5.27","4,835","4,835","4,835","4,835","4,835","12.44","12.44","12.44","12.44","12.44"
"Bergen","Norwood","39","5","5,711","5,711","5,711","5,711","5,711","5,826","5,869","5,858","5,895","5,831","2.01","2.77","2.57","3.22","2.1","4,260","4,247","4,363","4,258","-","2,129","2,158","1,512","2,287","-","49.98","50.81","34.66","53.71","-","1,792","1,611","1,636","1,615","-","31.06","27.67","28.07","27.54","-","78","78","78","78","78","1.37","1.37","1.37","1.37","1.37","1,552","1,552","1,552","1,552","1,552","27.18","27.18","27.18","27.18","27.18","260","260","260","260","260","4.55","4.55","4.55","4.55","4.55","214","214","214","214","214","3.75","3.75","3.75","3.75","3.75","1,144","1,144","1,144","1,144","1,144","20.03","20.03","20.03","20.03","20.03"
"Bergen","North Arlington","36","9","15,392","15,392","15,392","15,392","15,392","15,723","15,904","15,868","16,009","15,741","2.15","3.33","3.09","4.01","2.27","11,181","11,334","11,411","11,445","-","3,566","3,604","2,464","3,884","-","31.89","31.8","21.59","33.94","-","4,164","4,688","5,149","5,294","-","26.71","29.8","32.61","33.34","-","220","220","220","220","220","1.43","1.43","1.43","1.43","1.43","1,211","1,211","1,211","1,211","1,211","7.87","7.87","7.87","7.87","7.87","3,211","3,211","3,211","3,211","3,211","20.86","20.86","20.86","20.86","20.86","777","777","777","777","777","5.05","5.05","5.05","5.05","5.05","2,508","2,508","2,508","2,508","2,508","16.29","16.29","16.29","16.29","16.29"
"Middlesex","Old Bridge","12","6, 12","65,375","65,375","65,375","65,375","65,375","67,010","67,215","66,673","67,032","65,898","2.5","2.81","1.99","2.53","0.8","47,278","47,895","48,284","48,529","-","16,503","16,743","11,866","18,524","-","34.91","34.96","24.58","38.17","-","14,404","14,800","14,691","14,823","-","21.73","22.22","22.07","22.16","-","4,063","4,063","4,063","4,063","4,063","6.21","6.21","6.21","6.21","6.21","9,374","9,374","9,374","9,374","9,374","14.34","14.34","14.34","14.34","14.34","7,064","7,064","7,064","7,064","7,064","10.81","10.81","10.81","10.81","10.81","3,769","3,769","3,769","3,769","3,769","5.77","5.77","5.77","5.77","5.77","7,940","7,940","7,940","7,940","7,940","12.15","12.15","12.15","12.15","12.15"
"Morris","Riverdale","40","11","3,559","3,559","3,559","3,559","3,559","4,046","4,273","4,253","4,247","4,190","13.68","20.06","19.5","19.33","17.73","3,044","3,251","3,229","3,173","-","1,375","1,617","1,030","1,564","-","45.17","49.74","31.9","49.29","-","481","535","524","517","-","12.31","12.88","12.46","12.2","-","43","43","43","43","43","1.21","1.21","1.21","1.21","1.21","189","189","189","189","189","5.31","5.31","5.31","5.31","5.31","256","256","256","256","256","7.19","7.19","7.19","7.19","7.19","227","227","227","227","227","6.38","6.38","6.38","6.38","6.38","535","535","535","535","535","15.03","15.03","15.03","15.03","15.03"
"Bergen","Montvale","39","5","7,844","7,844","7,844","7,844","7,844","8,148","8,442","8,506","8,724","8,600","3.88","7.62","8.44","11.22","9.64","5,246","5,494","5,578","5,754","-","2,912","3,064","1,683","3,377","-","55.51","55.77","30.17","58.69","-","1,513","1,565","1,612","1,828","-","18.91","19.09","19.46","21.66","-","81","81","81","81","81","1.03","1.03","1.03","1.03","1.03","866","866","866","866","866","11.04","11.04","11.04","11.04","11.04","419","419","419","419","419","5.34","5.34","5.34","5.34","5.34","452","452","452","452","452","5.76","5.76","5.76","5.76","5.76","1,139","1,139","1,139","1,139","1,139","14.52","14.52","14.52","14.52","14.52"
"Union","Winfield","22","7","1,471","1,471","1,471","1,471","1,471","1,502","1,510","1,507","1,528","1,509","2.11","2.65","2.45","3.87","2.58","1,052","1,105","1,135","1,153","-","129","152","140","209","-","12.26","13.76","12.33","18.13","-","36","58","55","68","-","2.44","3.69","3.56","4.46","-","14","14","14","14","14","0.95","0.95","0.95","0.95","0.95","2","2","2","2","2","0.14","0.14","0.14","0.14","0.14","94","94","94","94","94","6.39","6.39","6.39","6.39","6.39","59","59","59","59","59","4.01","4.01","4.01","4.01","4.01","233","233","233","233","233","15.84","15.84","15.84","15.84","15.84"
"Bergen","Mahwah","39","5","25,890","25,890","25,890","25,890","25,890","26,500","26,590","26,541","26,759","26,380","2.36","2.7","2.51","3.36","1.89","16,644","17,027","17,051","17,268","-","9,398","9,562","5,538","9,827","-","56.46","56.16","32.48","56.91","-","4,047","4,253","4,637","5,135","-","15.42","16.13","17.54","19.32","-","678","678","678","678","678","2.62","2.62","2.62","2.62","2.62","2,021","2,021","2,021","2,021","2,021","7.81","7.81","7.81","7.81","7.81","1,622","1,622","1,622","1,622","1,622","6.26","6.26","6.26","6.26","6.26","1,081","1,081","1,081","1,081","1,081","4.18","4.18","4.18","4.18","4.18","3,678","3,678","3,678","3,678","3,678","14.21","14.21","14.21","14.21","14.21"
"Monmouth","Shrewsbury","11","4","3,809","3,809","3,809","3,809","3,809","4,125","4,131","4,122","4,122","4,085","8.3","8.45","8.22","8.22","7.25","2,579","2,583","2,676","2,785","-","1,576","1,616","1,075","1,682","-","61.11","62.56","40.17","60.39","-","274","198","175","154","-","7.03","5.05","4.38","3.8","-","25","25","25","25","25","0.66","0.66","0.66","0.66","0.66","81","81","81","81","81","2.13","2.13","2.13","2.13","2.13","95","95","95","95","95","2.49","2.49","2.49","2.49","2.49","226","226","226","226","226","5.93","5.93","5.93","5.93","5.93","671","671","671","671","671","17.62","17.62","17.62","17.62","17.62"
"Bergen","Hillsdale","39","5","10,219","10,219","10,219","10,219","10,219","10,482","10,559","10,510","10,581","10,405","2.57","3.33","2.85","3.54","1.82","7,086","7,077","7,162","7,186","-","3,747","3,744","2,201","3,731","-","52.88","52.9","30.73","51.92","-","1,657","1,407","1,412","1,459","-","15.96","13.46","13.51","13.87","-","103","103","103","103","103","1.01","1.01","1.01","1.01","1.01","640","640","640","640","640","6.26","6.26","6.26","6.26","6.26","794","794","794","794","794","7.77","7.77","7.77","7.77","7.77","535","535","535","535","535","5.24","5.24","5.24","5.24","5.24","1,511","1,511","1,511","1,511","1,511","14.79","14.79","14.79","14.79","14.79"
"Bergen","Hasbrouck Heights","38","9","11,842","11,842","11,842","11,842","11,842","12,147","12,227","12,182","12,277","12,080","2.58","3.25","2.87","3.67","2.01","8,655","8,476","8,566","8,609","-","3,339","3,465","2,483","3,734","-","38.58","40.88","28.99","43.37","-","2,369","2,648","3,160","3,107","-","19.76","21.88","26.06","25.46","-","339","339","339","339","339","2.86","2.86","2.86","2.86","2.86","1,183","1,183","1,183","1,183","1,183","9.99","9.99","9.99","9.99","9.99","1,760","1,760","1,760","1,760","1,760","14.86","14.86","14.86","14.86","14.86","668","668","668","668","668","5.64","5.64","5.64","5.64","5.64","1,778","1,778","1,778","1,778","1,778","15.01","15.01","15.01","15.01","15.01"
"Morris","Jefferson","26","11","21,314","21,314","21,314","21,314","21,314","21,483","21,494","21,406","21,368","21,012","0.79","0.84","0.43","0.25","-1.42","14,633","14,870","14,804","14,866","-","5,800","5,536","3,822","5,974","-","39.64","37.23","25.82","40.19","-","1,965","1,991","1,935","2,247","-","9.16","9.28","9.02","10.48","-","332","332","332","332","332","1.56","1.56","1.56","1.56","1.56","981","981","981","981","981","4.6","4.6","4.6","4.6","4.6","1,382","1,382","1,382","1,382","1,382","6.48","6.48","6.48","6.48","6.48","1,267","1,267","1,267","1,267","1,267","5.94","5.94","5.94","5.94","5.94","2,297","2,297","2,297","2,297","2,297","10.78","10.78","10.78","10.78","10.78"
"Middlesex","South Plainfield","18","6","23,385","23,385","23,385","23,385","23,385","23,960","24,290","24,221","24,435","24,131","2.46","3.87","3.57","4.49","3.19","17,083","17,150","17,193","17,320","-","6,396","6,302","4,012","6,105","-","37.44","36.75","23.34","35.25","-","5,439","5,814","5,996","6,094","-","22.96","24.36","25.02","25.23","-","2,361","2,361","2,361","2,361","2,361","10.1","10.1","10.1","10.1","10.1","3,433","3,433","3,433","3,433","3,433","14.68","14.68","14.68","14.68","14.68","3,097","3,097","3,097","3,097","3,097","13.24","13.24","13.24","13.24","13.24","1,302","1,302","1,302","1,302","1,302","5.57","5.57","5.57","5.57","5.57","3,165","3,165","3,165","3,165","3,165","13.53","13.53","13.53","13.53","13.53"
"Bergen","Fort Lee","37","9","35,345","35,345","35,345","35,345","35,345","37,026","36,672","37,577","37,907","37,921","4.76","3.75","6.31","7.25","7.29","28,104","28,441","28,568","28,631","-","15,218","16,062","10,281","17,072","-","54.15","56.47","35.99","59.63","-","18,601","19,212","19,339","19,284","-","51.6","53","52.83","52.04","-","973","973","973","973","973","2.75","2.75","2.75","2.75","2.75","13,587","13,587","13,587","13,587","13,587","38.44","38.44","38.44","38.44","38.44","3,877","3,877","3,877","3,877","3,877","10.97","10.97","10.97","10.97","10.97","1,815","1,815","1,815","1,815","1,815","5.14","5.14","5.14","5.14","5.14","7,711","7,711","7,711","7,711","7,711","21.82","21.82","21.82","21.82","21.82"
"Middlesex","South Amboy","19","6","8,631","8,631","8,631","8,631","8,631","8,853","8,846","8,778","8,857","8,921","2.57","2.49","1.7","2.62","3.36","6,315","6,538","6,278","6,601","-","1,537","1,757","1,083","1,819","-","24.34","26.87","17.25","27.56","-","1,416","1,349","964","1,242","-","16.18","15.35","11","14.1","-","382","382","382","382","382","4.43","4.43","4.43","4.43","4.43","348","348","348","348","348","4.03","4.03","4.03","4.03","4.03","1,158","1,158","1,158","1,158","1,158","13.42","13.42","13.42","13.42","13.42","520","520","520","520","520","6.02","6.02","6.02","6.02","6.02","976","976","976","976","976","11.31","11.31","11.31","11.31","11.31"
