"","","","","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"County  ","Municipality  ","LD  ","CD  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  "
"Warren","Liberty","24","5","-","-","-","-","-","-","-","-","-","-"
"Atlantic","Brigantine","2","2","8","6","1","2","1","234","147","161","110","129"
"Monmouth","Deal","11","6","2","3","1","2","2","58","27","32","30","23"
"Monmouth","Manalapan","12","4","15","27","27","13","13","237","284","241","249","218"
"Bergen","Norwood","39","5","1","0","1","0","0","11","11","13","24","15"
"Bergen","North Arlington","36","9","19","15","9","16","5","177","140","156","143","148"
"Middlesex","Old Bridge","12","6, 12","29","43","28","44","28","790","867","665","581","490"
"Morris","Riverdale","40","11","2","2","5","1","0","162","126","131","109","93"
"Bergen","Montvale","39","5","0","1","1","1","0","42","25","34","29","20"
"Union","Winfield","22","7","1","0","0","0","1","18","7","17","6","8"
"Bergen","Mahwah","39","5","7","4","4","9","3","124","95","150","146","98"
"Monmouth","Shrewsbury","11","4","2","1","1","2","1","68","61","58","53","85"
"Bergen","Hillsdale","39","5","2","1","3","0","3","41","37","35","35","41"
"Bergen","Hasbrouck Heights","38","9","6","4","7","2","1","57","64","72","61","51"
"Morris","Jefferson","26","11","11","13","15","6","5","169","131","80","93","84"
"Middlesex","South Plainfield","18","6","19","27","33","28","23","381","381","407","454","397"
"Bergen","Fort Lee","37","9","17","28","37","26","22","256","220","259","298","271"
"Middlesex","South Amboy","19","6","13","14","4","1","6","145","100","94","84","97"
"Bergen","Glen Rock","38","5","3","2","1","2","0","67","60","74","93","49"
"Bergen","Edgewater","32","9","6","13","4","10","13","190","175","141","133","137"
"Bergen","Fair Lawn","38","5","25","13","25","23","19","331","394","437","356","304"
"Monmouth","Asbury Park","11","6","209","231","223","213","174","814","739","723","746","653"
"Monmouth","Allenhurst","11","6","0","0","0","0","0","14","12","16","25","7"
"Middlesex","Woodbridge","19","6","116","110","105","104","113","1,815","1,690","1,715","1,608","1,554"
"Middlesex","Spotswood","14","12","1","6","8","1","1","61","64","59","64","61"
"Monmouth","Colts Neck","11","4","3","2","5","6","8","59","37","62","50","51"
"Monmouth","Brielle","30","4","1","2","0","2","0","26","27","22","18","23"
"Monmouth","Belmar","30","4","13","19","16","9","6","209","169","176","135","83"
"Monmouth","Atlantic Highlands","13","6","6","1","3","1","1","68","65","34","34","40"
"Salem","Upper Pittsgrove","3","2","-","-","-","-","-","-","-","-","-","-"
"Salem","Alloway","3","2","-","-","-","-","-","-","-","-","-","-"
"Somerset","Bound Brook","23","12","18","15","12","17","13","214","153","127","165","114"
"Somerset","Far Hills","21","7","0","2","0","0","1","6","4","9","7","6"
"Somerset","Green Brook","22","7","5","3","3","2","10","90","88","73","83","94"
"Salem","Penns Grove","3","2","39","25","-","37","33","160","184","-","237","180"
"Salem","Pittsgrove","3","2","-","-","-","-","-","-","-","-","-","-"
"Bergen","Emerson","39","5","2","1","2","2","2","33","35","44","25","36"
"Ocean","Barnegat Twp","9","3","23","19","19","8","13","200","148","129","143","120"
"Bergen","Little Ferry","36","9","16","18","10","11","7","63","69","75","127","94"
"Bergen","River Edge","38","5","2","3","5","2","0","68","67","59","63","64"
"Morris","Wharton","25","7","6","7","2","4","2","118","92","89","57","69"
"Morris","Victory Gardens","25","11","-","-","-","-","-","-","-","-","-","-"
"Ocean","Berkeley Twp","9","3","29","52","58","24","25","595","435","432","458","378"
"Somerset","Manville","16","12","12","7","11","12","18","255","290","265","169","214"
"Bergen","Teaneck","37","5, 9","50","50","72","55","45","469","438","424","390","419"
"Ocean","Lakewood","30","4","167","170","169","95","129","1,118","1,076","949","931","779"
"Somerset","North Plainfield","22","7","36","46","55","63","39","323","282","385","508","338"
"Somerset","Raritan","23","7","4","5","4","4","1","153","19","159","90","59"
"Ocean","Barnegat Light","9","2","0","1","0","1","0","7","9","4","0","12"
"Ocean","Ocean Gate","9","3","0","0","1","0","1","35","46","28","42","30"
"Morris","Washington Twp","25","7","7","1","16","3","7","33","29","37","42","50"
"Ocean","Ship Bottom","9","2","2","1","0","1","0","25","34","16","16","23"
"Sussex","Andover","24","5","-","-","6","1","2","-","-","35","26","14"
"Bergen","Wyckoff","40","5","2","3","5","8","6","86","74","104","107","84"
"Monmouth","Eatontown","11","4","25","41","39","32","30","474","462","401","337","277"
"Essex","Nutley","28","11","15","20","34","22","27","252","210","255","224","197"
"Bergen","Park Ridge","39","5","10","1","4","1","3","36","17","19","18","15"
"Bergen","Westwood","39","5","5","5","2","9","11","42","74","49","49","57"
"Bergen","Ridgefield Park","36","9","6","12","17","8","13","126","155","130","166","99"
"Essex","Newark","28, 29","8, 10","-","2,295","2,637","2,543","2,069","-","5,680","6,308","6,794","5,674"
"Bergen","Wallington","36","9","8","7","8","6","5","117","113","148","141","120"
"Bergen","Rockleigh","37","5","0","0","0","2","1","3","0","1","1","0"
"Monmouth","Farmingdale","30","4","-","-","-","-","16","-","-","-","-","129"
"Bergen","Saddle River","39","5","0","2","1","0","0","20","30","20","19","29"
"Monmouth","Englishtown","12","4","6","1","2","9","6","19","38","43","46","20"
"Burlington","Evesham","8","3","34","26","32","28","34","511","449","661","562","506"
"Monmouth","Highlands","13","6","7","5","8","4","1","64","60","22","31","28"
"Essex","Livingston","27","11","16","10","14","9","23","309","284","340","339","277"
"Essex","Glen Ridge","28","10","3","13","4","7","1","165","169","158","157","158"
"Monmouth","Freehold Twp","11","4","31","21","45","45","-","668","603","610","585","-"
"Burlington","Delran","7","3","14","9","16","11","8","198","206","262","263","176"
"Burlington","Burlington","7","3","43","51","52","45","37","178","196","220","250","211"
"Monmouth","Interlaken","11","6","0","0","0","0","0","12","13","11","14","5"
"Essex","Montclair","34","10, 11","46","44","49","60","37","566","560","572","650","502"
"Atlantic","Northfield","2","2","0","1","3","0","8","71","73","71","81","78"
"Burlington","Beverly","7","3","23","9","21","17","7","53","59","52","37","44"
"Monmouth","Holmdel","13","4","6","11","4","12","4","190","129","166","150","129"
"Essex","Maplewood","27","10","45","26","25","35","22","402","382","331","414","394"
"Bergen","Oradell","38","5","1","4","0","2","6","33","34","31","26","25"
"Essex","Caldwell","27","11","4","4","6","8","5","58","39","33","56","49"
"Monmouth","Lake Como","30","4","5","1","5","4","2","22","11","34","37","16"
"Essex","Bloomfield","28","10, 11","98","94","64","57","50","1,115","786","805","783","647"
"Monmouth","Keansburg","13","6","26","24","30","31","33","212","248","183","176","160"
"Essex","Fairfield","26","11","7","5","5","4","7","226","172","172","192","176"
"Burlington","Mansfield","8","3","3","6","5","5","3","91","112","83","72","61"
"Burlington","Hainesport","8","3","-","-","-","-","-","-","-","-","-","-"
"Essex","East Orange","34","10","458","434","437","473","333","1,100","815","898","1,059","904"
"Monmouth","Little Silver","13","4","1","1","2","0","2","58","52","45","35","34"
"Sussex","Franklin","24","5","4","0","6","2","5","117","109","67","47","37"
"Sussex","Hampton Twp","24","5","-","-","-","-","-","-","-","-","-","-"
"Sussex","Byram","24","11","1","1","1","6","3","33","34","26","43","45"
"Sussex","Sparta","24","11","9","5","2","9","5","79","74","78","66","54"
"Burlington","Moorestown","7","3","38","16","8","10","13","369","304","299","274","251"
"Sussex","Wantage","24","5","-","-","-","-","-","-","-","-","-","-"
"Burlington","Pemberton Twp","8","3","101","114","97","117","90","563","610","643","567","547"
"Bergen","Teterboro","36","9","3","4","3","5","1","20","33","108","123","137"
"Sussex","Hopatcong","24","11","6","7","7","11","6","94","78","104","71","42"
"Burlington","Chesterfield","12","3","3","4","2","0","0","28","22","23","21","14"
"Sussex","Newton","24","5","9","12","13","10","11","128","102","138","87","81"
"Warren","Phillipsburg","23","7","26","23","29","24","44","340","296","300","367","295"
"Warren","Hardwick","24","5","-","-","-","-","-","-","-","-","-","-"
"Ocean","Lakehurst","10","4","1","1","2","0","9","23","18","31","36","30"
"Warren","Harmony","23","7","-","-","-","-","-","-","-","-","-","-"
"Ocean","Lacey","9","3","18","13","19","27","18","444","386","376","312","257"
"Warren","Frelinghuysen","24","5","-","-","-","-","-","-","-","-","-","-"
"Union","Clark","22","7","4","1","4","5","4","131","153","177","213","227"
"Ocean","Jackson","12","4","37","33","13","24","27","557","459","473","483","360"
"Warren","Greenwich","23","7","3","0","1","2","0","130","91","72","161","99"
"Union","Fanwood","22","12","0","1","3","2","1","58","40","54","33","32"
"Ocean","Island Heights","10","3","0","1","0","0","3","8","18","8","10","12"
"Warren","Alpha","23","7","0","1","1","1","1","18","10","15","27","38"
"Warren","Blairstown","24","5","1","0","1","0","3","53","34","26","35","30"
"Ocean","Bay Head","10","4","1","0","2","0","0","35","19","13","20","17"
"Gloucester","Harrison Twp","5","2","7","5","7","6","2","146","135","92","102","67"
"Mercer","Hopewell Twp","15","12","9","3","3","7","8","97","109","100","99","76"
"Gloucester","Greenwich","3","1","1","3","3","9","7","110","195","82","81","68"
"Ocean","Beach Haven","9","2","1","3","1","2","0","93","70","86","110","118"
"Mercer","Hopewell","15","12","2","0","1","2","0","14","9","5","13","6"
"Mercer","Hamilton","14","4","150","153","162","126","116","1,645","1,509","1,516","1,922","1,700"
"Gloucester","Franklin Twp","3","2","5","5","10","14","9","276","199","193","215","236"
"Mercer","East Windsor","14","12","16","12","17","22","18","261","246","227","235","171"
"Gloucester","East Greenwich","3","1, 2","3","5","4","7","4","106","89","47","59","68"
"Ocean","Eagleswood","9","2","-","-","-","-","-","-","-","-","-","-"
"Ocean","Harvey Cedars","9","2","0","0","0","1","0","13","14","14","15","24"
"Ocean","Beachwood","9","3","8","4","8","6","6","132","133","126","134","130"
"Ocean","Brick","10","3","89","76","71","107","65","1,169","930","1,059","1,051","904"
"Gloucester","Mantua","5","2","6","5","4","13","7","251","191","273","266","190"
"Essex","Orange","34","10","318","309","342","245","226","1,102","760","843","977","772"
"Middlesex","Dunellen","22","12","16","7","0","10","3","150","118","55","139","97"
"Middlesex","Cranbury","14","12","0","5","2","0","0","43","34","34","27","37"
"Mercer","West Windsor","15","12","12","20","15","21","11","372","396","455","301","298"
"Gloucester","Deptford","5","1","72","61","61","60","47","1,340","1,246","1,160","1,227","1,153"
"Essex","West Orange","27","10, 11","102","99","106","93","91","706","706","843","839","615"
"Mercer","Robbinsville","14","4","7","11","7","1","2","106","118","62","83","59"
"Essex","West Caldwell","26","11","5","5","4","8","2","51","78","78","66","68"
"Essex","South Orange","27","10","24","32","43","29","22","253","272","333","282","293"
"Mercer","Pennington","15","12","2","1","0","0","1","14","6","8","8","5"
"Warren","Pohatcong","23","7","3","2","1","0","1","153","169","129","147","146"
"Warren","Washington","23","5","10","5","6","3","4","70","52","94","82","47"
