,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Atlantic,Longport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atlantic,Mainland Regional,-,344,331,388,330,-,330,310,372,315,-,95.93,93.66,95.88,95.45
Atlantic,Folsom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atlantic,Galloway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Randolph,-,376,431,371,440,-,370,420,368,427,-,98.4,97.45,99.19,97.05
Atlantic,Egg Harbor Twp,-,618,595,584,601,-,580,549,550,574,-,93.85,92.27,94.18,95.51
Morris,Pequannock,-,201,206,184,168,-,194,199,175,166,-,96.52,96.6,95.11,98.81
Atlantic,Estell Manor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Parsippany Troy Hls,-,527,516,529,505,-,510,495,500,480,-,96.77,95.93,94.52,95.05
Atlantic,Hammonton,-,351,392,372,320,-,320,359,323,301,-,91.17,91.58,86.83,94.06
Morris,Netcong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atlantic,Linwood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Mountain Lakes,-,181,162,194,182,-,174,153,185,175,-,96.13,94.44,95.36,96.15
Atlantic,Greater Egg Harbor Regional,-,875,906,839,849,-,798,836,756,784,-,91.2,92.27,90.11,92.34
Morris,Mount Olive,-,364,365,360,360,-,334,342,339,346,-,91.76,93.7,94.17,96.11
Atlantic,Hamilton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Morris Plains,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Greenwich,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Mount Arlington,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Fairfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morris,Morris County Vocational,-,170,182,498,449,-,168,181,434,376,-,98.82,99.45,87.15,83.74
Morris,Morris Hills Regional,-,692,692,766,731,-,644,645,702,694,-,93.06,93.21,91.64,94.94
Cumberland,Millville,-,450,455,491,488,-,406,413,419,414,-,90.22,90.77,85.34,84.84
Cumberland,Maurice River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Lawrence,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Hopewell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Vineland,-,705,697,721,733,-,535,534,568,605,-,75.89,76.61,78.78,82.54
Cumberland,Upper Deerfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Stow Creek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Shiloh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Lakeland Regional,-,283,247,262,232,-,268,226,244,217,-,94.7,91.5,93.13,93.53
Bergen,Alpine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Little Falls,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Manchester Regional,-,264,275,840,231,-,221,219,659,183,-,83.71,79.64,78.45,79.22
Passaic,North Haledon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Haledon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Hawthorne,-,168,160,179,174,-,152,147,166,155,-,90.48,91.88,92.74,89.08
Atlantic,Mullica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Bay Head,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atlantic,Northfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atlantic,Pleasantville,-,220,188,238,193,-,179,152,206,170,-,81.36,80.85,86.55,88.08
Atlantic,Port Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
