"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"County  ","Municipality  ","LD  ","CD  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  "
"Warren","Liberty","24","5","5","1","0","1","0","1","4","0","2","1","160","169","197","163","-","1,068","1,278","1,055","1,151","-","217,086","231,580","233,076","236,798","242,974","1,151","1,151","1,151","1,151","1,151","1,047","1,047","1,047","1,047","1,047","90.96","90.96","90.96","90.96","90.96","920","920","920","920","920","87.87","87.87","87.87","87.87","87.87"
"Atlantic","Brigantine","2","2","19","10","44","31","47","14","9","1","5","11","1,285","1,281","1,182","1,107","-","1,237","1,245","1,230","1,264","-","391,339","382,977","370,178","365,841","368,172","9,222","9,222","9,222","9,222","9,222","4,294","4,294","4,294","4,294","4,294","46.56","46.56","46.56","46.56","46.56","2,753","2,753","2,753","2,753","2,753","64.11","64.11","64.11","64.11","64.11"
"Monmouth","Deal","11","6","8","5","1","8","1","0","2","0","1","0","74","87","94","82","-","1,230","1,237","1,311","1,337","-","2,270,558","2,284,294","2,425,022","2,391,133","2,911,749","926","926","926","926","926","333","333","333","333","333","35.96","35.96","35.96","35.96","35.96","221","221","221","221","221","66.37","66.37","66.37","66.37","66.37"
"Monmouth","Manalapan","12","4","47","3","12","14","6","101","15","2","6","7","1,037","1,034","1,265","1,578","-","1,434","1,456","1,514","1,605","-","406,627","414,177","417,204","432,599","471,371","13,735","13,735","13,735","13,735","13,735","13,263","13,263","13,263","13,263","13,263","96.56","96.56","96.56","96.56","96.56","12,159","12,159","12,159","12,159","12,159","91.68","91.68","91.68","91.68","91.68"
"Bergen","Norwood","39","5","5","6","9","7","4","4","2","0","8","7","290","422","411","402","-","1,562","1,677","1,663","1,719","-","575,948","596,896","602,459","591,394","593,811","2,007","2,007","2,007","2,007","2,007","1,927","1,927","1,927","1,927","1,927","96.01","96.01","96.01","96.01","96.01","1,610","1,610","1,610","1,610","1,610","83.55","83.55","83.55","83.55","83.55"
"Bergen","North Arlington","36","9","16","3","30","0","0","0","2","0","0","0","2,888","2,845","2,709","2,820","-","1,249","1,223","1,261","1,288","-","316,603","331,293","335,577","335,936","354,396","6,573","6,573","6,573","6,573","6,573","6,295","6,295","6,295","6,295","6,295","95.77","95.77","95.77","95.77","95.77","3,394","3,394","3,394","3,394","3,394","53.92","53.92","53.92","53.92","53.92"
"Middlesex","Old Bridge","12","6, 12","0","0","0","6","68","0","1","0","21","104","7,271","7,232","7,295","7,362","-","1,133","1,155","1,181","1,197","-","312,782","326,912","334,688","362,209","356,842","24,638","24,638","24,638","24,638","24,638","23,777","23,777","23,777","23,777","23,777","96.51","96.51","96.51","96.51","96.51","16,846","16,846","16,846","16,846","16,846","70.85","70.85","70.85","70.85","70.85"
"Morris","Riverdale","40","11","0","2","3","1","0","17","1","2","0","1","401","520","519","522","-","2,100","1,960","1,903","1,942","-","309,557","311,389","318,022","346,666","340,909","1,657","1,657","1,657","1,657","1,657","1,547","1,547","1,547","1,547","1,547","93.36","93.36","93.36","93.36","93.36","1,309","1,309","1,309","1,309","1,309","84.62","84.62","84.62","84.62","84.62"
"Bergen","Montvale","39","5","9","65","30","44","11","20","43","4","33","15","437","424","468","406","-","1,693","1,691","1,709","1,791","-","562,070","547,092","578,901","582,951","576,915","2,872","2,872","2,872","2,872","2,872","2,778","2,778","2,778","2,778","2,778","96.73","96.73","96.73","96.73","96.73","2,321","2,321","2,321","2,321","2,321","83.55","83.55","83.55","83.55","83.55"
