"","","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)"
"County  ","School District Name  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  "
"Atlantic","Longport","-","51","52","43","56","-","994,872","1,014,769","1,014,769","1,196,879","-","91,717","91,717","92,674","90,821","-","1,086,589","1,106,486","1,107,443","1,287,700","-","8.44","8.29","8.37","7.05","-","21,305.67","21,278.58","25,754.49","22,994.64","-","1,874,393,497","1,886,345,893","1,876,059,911","1,969,794,054","-","48,330,405","45,237,754","48,142,840","48,088,234","-","36,752,813.67","36,275,882.56","43,629,300.26","35,174,893.82","-","947,655","869,956.81","1,119,600.93","858,718.46","-","42.79","41.35","48.65","36.85","-","4.05","3.64","4.44","3.23"
"Atlantic","Mainland Regional","-","1,385","1,367","1,329","1,251","-","17,050,159","17,391,162","17,391,162","18,185,561","-","7,633,636","7,626,838","7,696,244","7,700,745","-","24,683,795","25,018,000","25,087,406","25,886,306","-","30.93","30.49","30.68","29.75","-","17,822.23","18,301.39","18,876.9","20,692.49","-","1,041,663,933","999,308,862","968,498,775","939,242,688","-","304,474,342","304,244,986","319,407,470","309,033,151","-","752,103.92","731,023.31","728,742.49","750,793.52","-","219,837.07","222,564","240,336.7","247,028.9","-","0.88","0.83","0.81","0.79","-","0.94","0.93","0.95","0.93"
"Atlantic","Folsom","-","489","475","471","477","-","1,553,959","1,585,038","1,585,038","1,649,073","-","5,676,196","5,570,108","5,638,614","5,641,739","-","7,230,155","7,155,146","7,223,652","7,290,812","-","78.51","77.85","78.06","77.38","-","14,785.59","15,063.47","15,336.84","15,284.72","-","168,001,591","167,744,572","172,782,614","169,700,078","-","45,206,447","48,044,073","49,782,999","51,271,496","-","343,561.54","353,146.47","366,842.07","355,765.36","-","92,446.72","101,145.42","105,696.39","107,487.41","-","0.4","0.4","0.41","0.37","-","0.39","0.42","0.42","0.4"
"Atlantic","Galloway","-","3,315","3,275","3,268","3,265","-","30,454,298","30,606,570","30,606,570","32,557,191","-","24,146,169","23,639,348","23,756,598","24,008,853","-","54,600,467","54,245,918","54,363,168","56,566,044","-","44.22","43.58","43.7","42.44","-","16,470.73","16,563.64","16,635","17,324.98","-","2,006,281,360","1,969,044,709","1,875,390,546","1,899,235,375","-","609,099,969","617,018,346","614,966,119","664,117,557","-","605,213.08","601,235.03","573,864.92","581,695.37","-","183,740.56","188,402.55","188,178.13","203,405.07","-","0.7","0.69","0.64","0.61","-","0.78","0.79","0.75","0.77"
"Morris","Randolph","-","4,862","4,828.5","4,707","4,588.5","-","68,452,550","69,821,601","69,821,601","74,095,242","-","13,597,631","12,770,108","12,819,909","12,819,909","-","82,050,181","82,591,709","82,641,510","86,915,151","-","16.57","15.46","15.51","14.75","-","16,875.81","17,105.04","17,557.15","18,941.95","-","4,322,235,798","4,285,340,226","4,327,626,123","4,522,762,673","-","1,636,429,688","1,646,428,805","1,741,564,985","1,824,228,547","-","888,983.09","887,509.63","919,402.19","985,673.46","-","336,575.42","340,981.42","369,994.69","397,565.34","-","1.04","1.01","1.03","1.03","-","1.44","1.43","1.47","1.5"
"Atlantic","Egg Harbor Twp","-","7,564","7,384","7,453","7,442","-","71,015,418","72,986,000","72,986,000","77,128,026","-","40,501,216","40,025,978","40,384,851","41,838,342","-","111,516,634","113,011,978","113,370,851","118,966,368","-","36.32","35.42","35.62","35.17","-","14,743.08","15,304.98","15,211.44","15,985.81","-","4,161,256,615","4,173,764,100","4,104,616,654","4,080,188,256","-","1,168,555,697","1,199,601,803","1,227,315,865","1,267,884,149","-","550,139.69","565,244.33","550,733.48","548,265.02","-","154,489.12","162,459.62","164,674.07","170,368.74","-","0.64","0.64","0.61","0.57","-","0.66","0.68","0.65","0.64"
"Morris","Pequannock","-","2,231.5","2,164.5","2,110","2,067.5","-","31,711,157","32,281,958","32,281,958","34,994,588","-","2,436,674","2,212,264","2,247,383","2,247,657","-","34,147,831","34,494,222","34,529,341","37,242,245","-","7.14","6.41","6.51","6.04","-","15,302.64","15,936.35","16,364.62","18,013.18","-","2,569,285,320","2,582,621,886","2,635,600,928","2,779,777,621","-","686,327,804","684,680,482","758,069,694","754,585,612","-","1,151,371.42","1,193,172.5","1,249,099.97","1,344,511.55","-","307,563.43","316,322.7","359,274.74","364,974.9","-","1.34","1.36","1.39","1.41","-","1.31","1.33","1.42","1.37"
"Atlantic","Estell Manor","-","218","212","207","224","-","2,249,791","2,249,791","2,249,791","2,354,957","-","2,082,009","2,125,160","2,135,970","2,134,584","-","4,331,800","4,374,951","4,385,761","4,489,541","-","48.06","48.58","48.7","47.55","-","19,870.64","20,636.56","21,187.25","20,042.59","-","163,621,371","167,012,107","160,421,553","169,336,398","-","45,960,789","44,230,569","45,916,900","49,407,130","-","750,556.75","787,792.96","774,983.35","755,966.06","-","210,829.31","208,634.76","221,820.77","220,567.54","-","0.87","0.9","0.86","0.79","-","0.9","0.87","0.88","0.83"
"Morris","Parsippany Troy Hls","-","6,947.5","7,020","6,966","7,166.5","-","122,152,214","125,598,737","125,598,737","135,975,887","-","5,334,192","4,619,082","4,709,595","4,926,399","-","127,486,406","130,217,819","130,308,332","140,902,286","-","4.18","3.55","3.61","3.5","-","18,349.97","18,549.55","18,706.34","19,661.24","-","8,490,129,948","8,484,021,576","8,613,059,643","8,637,700,714","-","2,056,814,926","2,143,907,820","2,219,894,672","2,342,651,031","-","1,222,041.01","1,208,550.08","1,236,442.67","1,205,288.59","-","296,051.09","305,399.97","318,675.66","326,889.14","-","1.42","1.38","1.38","1.26","-","1.26","1.28","1.26","1.23"
"Atlantic","Hammonton","-","2,691","2,704","2,720","2,673","-","16,506,429","16,506,429","16,506,429","18,018,685","-","15,924,235","15,273,362","15,483,174","16,436,910","-","32,430,664","31,779,791","31,989,603","34,455,595","-","49.1","48.06","48.4","47.7","-","12,051.53","11,752.88","11,760.88","12,890.23","-","1,317,766,287","1,339,593,769","1,351,724,801","1,432,751,681","-","399,156,333","410,236,812","434,074,121","422,125,848","-","489,693.9","495,411.9","496,957.65","536,008.86","-","148,330.11","151,714.8","159,586.07","157,922.13","-","0.57","0.56","0.55","0.56","-","0.63","0.64","0.63","0.59"
"Morris","Netcong","-","280","275","286","280","-","2,904,108","3,340,928","3,340,928","3,707,261","-","1,179,056","1,195,759","1,206,644","1,276,836","-","4,083,164","4,536,687","4,547,572","4,984,097","-","28.88","26.36","26.53","25.62","-","14,582.73","16,497.04","15,900.6","17,800.35","-","170,690,820","173,030,582","181,385,210","202,715,423","-","48,831,790","51,770,250","55,262,335","59,485,500","-","609,610.07","629,202.12","634,214.02","723,983.65","-","174,399.25","188,255.45","193,224.95","212,448.21","-","0.71","0.72","0.71","0.76","-","0.74","0.79","0.77","0.8"
"Atlantic","Linwood","-","844","818","824","792.5","-","11,376,075","11,517,868","11,517,868","11,486,749","-","1,619,531","1,571,925","1,579,695","1,548,101","-","12,995,606","13,089,793","13,097,563","13,034,850","-","12.46","12.01","12.06","11.88","-","15,397.64","16,002.19","15,895.1","16,447.76","-","681,816,380","639,209,860","612,278,801","597,099,857","-","275,630,505","260,840,141","279,720,578","265,505,859","-","807,839.31","781,430.15","743,056.8","753,438.31","-","326,576.43","318,875.48","339,466.72","335,023.17","-","0.94","0.89","0.83","0.79","-","1.39","1.34","1.35","1.26"
"Morris","Mountain Lakes","-","1,160","1,128","1,122","1,090","-","18,928,914","19,307,492","19,307,492","20,872,466","-","837,168","772,752","787,376","799,520","-","19,766,082","20,080,244","20,094,868","21,671,986","-","4.24","3.85","3.92","3.69","-","17,039.73","17,801.63","17,909.86","19,882.56","-","1,316,542,886","1,324,067,084","1,318,707,652","1,353,122,934","-","653,852,757","585,482,586","621,378,720","615,728,021","-","1,134,950.76","1,173,818.34","1,175,318.76","1,241,397.19","-","563,666.17","519,044.85","553,813.48","564,888.09","-","1.32","1.34","1.31","1.3","-","2.41","2.17","2.2","2.13"
"Atlantic","Greater Egg Harbor Regional","-","3,362","3,329","3,217","3,129.5","-","29,836,275","30,433,000","30,433,000","32,742,826","-","31,716,310","31,229,240","31,349,652","31,353,710","-","61,552,585","61,662,240","61,782,652","64,096,536","-","51.53","50.65","50.74","48.92","-","18,308.32","18,522.75","19,205.05","20,481.4","-","1,849,363,194","1,842,645,602","1,726,047,413","1,730,811,534","-","545,889,843","564,352,873","552,548,130","568,376,075","-","550,078.28","553,513.25","536,539.45","553,063.28","-","162,370.57","169,526.25","171,758.82","181,618.81","-","0.64","0.63","0.6","0.58","-","0.69","0.71","0.68","0.68"
"Morris","Mount Olive","-","4,700.5","4,577.5","4,572.5","4,626.5","-","60,863,620","62,080,892","62,080,892","66,580,498","-","16,800,518","15,182,004","15,282,286","15,593,413","-","77,664,138","77,262,896","77,363,178","82,173,911","-","21.63","19.65","19.75","18.98","-","16,522.53","16,878.84","16,919.23","17,761.57","-","2,938,555,186","3,092,723,997","3,106,612,257","3,340,163,172","-","1,001,994,545","1,040,552,624","1,083,264,183","1,159,240,973","-","625,158","675,636.05","679,412.19","721,963.29","-","213,167.65","227,318.98","236,908.51","250,565.43","-","0.73","0.77","0.76","0.76","-","0.91","0.95","0.94","0.94"
"Atlantic","Hamilton","-","3,021","2,934","2,928","2,806","-","16,621,103","17,183,705","17,183,705","19,091,801","-","23,151,421","22,755,139","22,948,512","23,178,276","-","39,772,524","39,938,844","40,132,217","42,270,077","-","58.21","56.97","57.18","54.83","-","13,165.35","13,612.42","13,706.36","15,064.18","-","1,651,665,091","1,593,770,371","1,536,719,300","1,620,900,148","-","447,445,558","470,754,589","470,709,492","476,749,959","-","546,727.93","543,207.35","524,835.83","577,655.08","-","148,111.74","160,448.05","160,761.44","169,903.76","-","0.64","0.62","0.59","0.61","-","0.63","0.67","0.64","0.64"
"Cumberland","Greenwich","-","54","60","64","62","-","781,791","817,197","817,197","941,583","-","428,348","428,348","428,908","420,330","-","1,210,139","1,245,545","1,246,105","1,361,913","-","35.4","34.39","34.42","30.86","-","22,409.98","20,759.08","19,470.39","21,966.34","-","44,143,272","48,591,273","49,932,041","54,993,499","-","12,082,840","13,701,514","13,423,213","15,104,178","-","817,468","809,854.55","780,188.14","886,991.92","-","223,756.3","228,358.57","209,737.7","243,615.77","-","0.95","0.92","0.87","0.93","-","0.96","0.96","0.83","0.92"
"Morris","Morris Plains","-","826.5","849.5","804.5","822","-","14,444,951","14,661,625","14,661,625","15,961,667","-","968,868","766,220","793,621","808,316","-","15,413,819","15,427,845","15,455,246","16,769,983","-","6.29","4.97","5.13","4.82","-","18,649.51","18,161.09","19,211","20,401.44","-","1,414,396,565","1,409,176,495","1,467,011,177","1,583,189,886","-","312,340,439","317,751,654","339,933,786","332,167,195","-","1,711,308.61","1,658,830.48","1,823,506.75","1,926,021.76","-","377,907.37","374,045.5","422,540.44","404,096.34","-","1.99","1.89","2.03","2.02","-","1.61","1.57","1.68","1.52"
