County,Municipality,Violent Crimes,Non-Violent Crimes
Warren,Liberty,-,-
Atlantic,Brigantine,4,206
Monmouth,Deal,1,48
Monmouth,Manalapan,23,353
Mercer,Princeton,-,-
Bergen,Norwood,1,27
Bergen,North Arlington,9,194
Middlesex,Old Bridge,56,912
Morris,Riverdale,0,153
Bergen,Montvale,4,25
Union,Winfield,0,6
Bergen,Mahwah,3,120
Monmouth,Shrewsbury,5,74
Bergen,Hillsdale,2,76
Bergen,Hasbrouck Heights,4,69
Morris,Jefferson,5,229
Middlesex,South Plainfield,26,425
Bergen,Fort Lee,30,275
Middlesex,South Amboy,13,161
Bergen,Glen Rock,6,88
Bergen,Edgewater,9,193
Bergen,Fair Lawn,24,386
Monmouth,Asbury Park,247,1005
Monmouth,Allenhurst,1,11
Middlesex,Woodbridge,122,1967
Middlesex,Spotswood,5,97
Monmouth,Colts Neck,7,92
Monmouth,Brielle,3,48
Monmouth,Belmar,12,258
Monmouth,Atlantic Highlands,5,63
Salem,Upper Pittsgrove,-,-
Salem,Alloway,-,-
Somerset,Bound Brook,12,244
Somerset,Far Hills,0,9
Somerset,Green Brook,6,140
Salem,Penns Grove,36,170
Salem,Pittsgrove,-,-
Bergen,Emerson,1,46
Ocean,Barnegat Twp,26,252
Bergen,Little Ferry,11,120
Bergen,River Edge,3,97
Morris,Wharton,13,102
Morris,Victory Gardens,-,-
Ocean,Berkeley Twp,-,-
Somerset,Manville,5,208
Bergen,Teaneck,56,586
Ocean,Lakewood,110,1103
Somerset,North Plainfield,49,409
Somerset,Raritan,9,131
Ocean,Barnegat Light,0,9
Ocean,Ocean Gate,0,72
Morris,Washington Twp,4,85
Ocean,Ship Bottom,1,66
Sussex,Andover,-,-
Bergen,Wyckoff,6,135
Monmouth,Eatontown,32,489
Essex,Nutley,22,301
Bergen,Park Ridge,2,39
Bergen,Westwood,5,68
Bergen,Ridgefield Park,12,136
Essex,Newark,3220,10199
Bergen,Wallington,8,211
Bergen,Rockleigh,0,4
Monmouth,Farmingdale,-,-
Bergen,Saddle River,0,27
Monmouth,Englishtown,1,18
Burlington,Evesham,30,684
Monmouth,Highlands,12,71
Essex,Livingston,15,423
Essex,Glen Ridge,11,183
Monmouth,Freehold Twp,36,854
Burlington,Delran,15,256
Burlington,Burlington,45,228
Monmouth,Interlaken,1,16
Essex,Montclair,49,680
Atlantic,Northfield,1,92
Burlington,Beverly,13,54
Monmouth,Holmdel,8,208
Essex,Maplewood,45,519
Bergen,Oradell,2,50
Essex,Caldwell,12,97
Monmouth,Lake Como,1,28
Essex,Bloomfield,126,1089
Monmouth,Keansburg,31,314
Essex,Fairfield,10,246
Burlington,Mansfield,2,108
Burlington,Hainesport,-,-
Essex,East Orange,364,1165
Monmouth,Little Silver,5,83
Sussex,Franklin,9,155
Sussex,Hampton Twp,-,-
Sussex,Byram,6,51
Sussex,Sparta,2,186
Burlington,Moorestown,-,-
Sussex,Wantage,-,-
Burlington,Pemberton Twp,102,696
Bergen,Teterboro,0,21
Sussex,Hopatcong,7,110
Burlington,Chesterfield,1,25
Sussex,Newton,8,154
Warren,Phillipsburg,34,435
Warren,Hardwick,-,-
Ocean,Lakehurst,2,52
Warren,Harmony,-,-
Ocean,Lacey,18,665
Warren,Frelinghuysen,-,-
Union,Clark,5,153
Ocean,Jackson,-,751
Warren,Greenwich,0,70
Union,Fanwood,2,85
Ocean,Island Heights,0,21
Warren,Alpha,1,18
Warren,Blairstown,1,56
Ocean,Bay Head,1,45
Gloucester,Harrison Twp,10,177
Mercer,Hopewell Twp,8,163
Gloucester,Greenwich,3,138
Ocean,Beach Haven,3,125
Mercer,Hopewell,2,16
Mercer,Hamilton,188,1978
Gloucester,Franklin Twp,27,365
Mercer,East Windsor,30,273
Gloucester,East Greenwich,7,116
Ocean,Eagleswood,-,-
Ocean,Harvey Cedars,0,29
Ocean,Beachwood,9,193
Ocean,Brick,81,1245
Gloucester,Mantua,12,252
Essex,Orange,262,806
Middlesex,Dunellen,16,245
Middlesex,Cranbury,1,61
Mercer,West Windsor,5,503
Gloucester,Deptford,104,1570
Essex,West Orange,68,654
