"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: September 26, 2019 - Next Release Date October 30, 2019"
"Line","","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2"
"1","Personal income",12275.9,12492.6,12636.0,12801.9,13158.2,13267.3,13402.0,13479.5,13785.7,13946.8,13915.4,14392.6,14001.2,14135.0,14232.0,14356.2,14639.3,14890.8,15120.0,15316.8,15478.5,15685.0,15831.1,15876.4,15937.6,16029.0,16175.5,16342.6,16604.1,16749.6,16930.4,17231.2,17540.3,17725.0,17928.5,18082.8,18355.4,18599.6
"2","    Compensation of employees",7767.2,7910.1,7981.8,8040.7,8170.0,8206.1,8287.1,8240.4,8455.9,8503.0,8545.3,8762.6,8731.7,8818.7,8844.7,8941.7,9113.0,9171.3,9279.6,9432.5,9563.3,9667.2,9748.7,9813.4,9843.5,9900.1,9993.2,10104.5,10227.6,10334.2,10456.7,10628.0,10786.0,10876.1,10994.3,11057.4,11306.6,11436.8
"3","        Wages and salaries",6232.8,6360.2,6422.1,6473.3,6577.2,6607.9,6681.5,6637.1,6835.8,6875.2,6905.3,7093.6,7043.0,7102.1,7112.0,7195.6,7357.4,7408.2,7502.0,7633.3,7745.0,7830.2,7898.2,7953.3,7982.8,8032.1,8112.2,8206.9,8310.6,8397.7,8497.9,8642.0,8776.7,8845.0,8942.2,8990.0,9211.5,9320.3
"4","            Private industries",5047.0,5163.6,5230.8,5282.2,5384.2,5408.7,5483.8,5447.6,5637.2,5679.5,5708.5,5891.6,5836.6,5895.3,5907.2,5981.6,6135.6,6177.6,6260.5,6379.6,6481.8,6557.4,6618.1,6666.9,6688.5,6729.6,6798.1,6885.7,6979.2,7057.4,7144.9,7274.9,7396.3,7450.9,7529.6,7566.8,7779.5,7877.6
"5","            Government",1185.8,1196.6,1191.3,1191.1,1193.1,1199.2,1197.6,1189.5,1198.7,1195.8,1196.8,1202.0,1206.4,1206.8,1204.8,1214.0,1221.9,1230.6,1241.5,1253.7,1263.2,1272.8,1280.1,1286.4,1294.2,1302.5,1314.1,1321.2,1331.4,1340.3,1353.0,1367.2,1380.4,1394.1,1412.6,1423.3,1432.0,1442.7
"6","        Supplements to wages and salaries",1534.4,1549.9,1559.7,1567.4,1592.8,1598.2,1605.7,1603.3,1620.1,1627.8,1640.0,1669.0,1688.7,1716.6,1732.7,1746.2,1755.6,1763.1,1777.6,1799.2,1818.4,1837.0,1850.5,1860.0,1860.7,1868.0,1881.1,1897.5,1917.0,1936.5,1958.8,1985.9,2009.4,2031.1,2052.0,2067.4,2095.1,2116.5
"7","            Employer contributions for employee pension and insurance funds1",1070.3,1080.4,1088.9,1095.9,1102.0,1106.4,1109.5,1111.1,1112.1,1117.8,1128.8,1145.1,1168.4,1190.7,1205.9,1214.0,1216.1,1221.3,1229.9,1242.5,1257.0,1269.5,1278.3,1284.2,1286.5,1290.5,1298.0,1307.5,1320.4,1334.3,1350.8,1370.0,1391.8,1410.9,1426.6,1439.3,1450.3,1464.7
"8","            Employer contributions for government social insurance",464.1,469.5,470.8,471.5,490.8,491.8,496.2,492.2,508.0,510.0,511.2,523.9,520.4,525.9,526.8,532.1,539.5,541.8,547.7,556.7,561.4,567.5,572.2,575.8,574.2,577.5,583.1,590.0,596.6,602.2,607.9,615.9,617.6,620.2,625.4,628.1,644.8,651.8
