NJ Counties,,
Summary Level,StateCode,Area
40,34000,New Jersey
50,34001,Atlantic County
50,34003,Bergen County
50,34005,Burlington County
50,34007,Camden County
50,34009,Cape May County
50,34011,Cumberland County
50,34013,Essex County
50,34015,Gloucester County
50,34017,Hudson County
50,34019,Hunterdon County
50,34021,Mercer County
50,34023,Middlesex County
50,34025,Monmouth County
50,34027,Morris County
50,34029,Ocean County
50,34031,Passaic County
50,34033,Salem County
50,34035,Somerset County
50,34037,Sussex County
50,34039,Union County
50,34041,Warren County
